GEOID,locality,region,year,group,total_children_in_care,fc_count_group,population_count_group,fc_per_bygroup,fc_per_byallfc,fc_rate_bygroup,fc_rate_byallfc
51003,Albemarle,Piedmont,2018,multiracial,100,14,747,1.87,14,18.74,140
51003,Albemarle,Piedmont,2018,hispanic,100,16,2109,0.76,16,7.59,160
51540,Charlottesville,Piedmont,2018,all,144,144,7385,1.95,100,19.5,1000
51540,Charlottesville,Piedmont,2018,black,144,79,1973,4,54.86,40.04,548.61
51540,Charlottesville,Piedmont,2018,white,144,32,4450,0.72,22.22,7.19,222.22
51540,Charlottesville,Piedmont,2018,asian,144,2,352,0.57,1.39,5.68,13.89
51540,Charlottesville,Piedmont,2018,multiracial,144,31,457,6.78,21.53,67.83,215.28
51540,Charlottesville,Piedmont,2018,hispanic,144,8,777,1.03,5.56,10.3,55.56
51,Virginia,Totals,2018,all,5329,5329,1867427,0.29,100,2.85,1000
51,Virginia,Totals,2018,black,5329,1597,375959,0.42,29.97,4.25,299.68
51,Virginia,Totals,2018,white,5329,3158,1161193,0.27,59.26,2.72,592.61
51,Virginia,Totals,2018,asian,5329,36,112660,0.03,0.68,0.32,6.76
51,Virginia,Totals,2018,multiracial,5329,445,147344,0.3,8.35,3.02,83.51
51,Virginia,Totals,2018,hispanic,5329,562,249917,0.22,10.55,2.25,105.46
51003,Albemarle,Piedmont,2019,all,106,106,21723,0.49,100,4.88,1000
51003,Albemarle,Piedmont,2019,black,106,37,2425,1.53,34.91,15.26,349.06
51003,Albemarle,Piedmont,2019,white,106,54,16986,0.32,50.94,3.18,509.43
51003,Albemarle,Piedmont,2019,asian,106,0,941,0,0,0,0
51003,Albemarle,Piedmont,2019,multiracial,106,14,999,1.4,13.21,14.01,132.08
51003,Albemarle,Piedmont,2019,hispanic,106,16,2123,0.75,15.09,7.54,150.94
51540,Charlottesville,Piedmont,2019,all,107,107,7368,1.45,100,14.52,1000
51540,Charlottesville,Piedmont,2019,black,107,57,2015,2.83,53.27,28.29,532.71
51540,Charlottesville,Piedmont,2019,white,107,28,4467,0.63,26.17,6.27,261.68
51540,Charlottesville,Piedmont,2019,asian,107,3,361,0.83,2.8,8.31,28.04
51540,Charlottesville,Piedmont,2019,multiracial,107,19,376,5.05,17.76,50.53,177.57
51540,Charlottesville,Piedmont,2019,hispanic,107,7,799,0.88,6.54,8.76,65.42
51,Virginia,Totals,2019,all,5517,5517,1865699,0.3,100,2.96,1000
51,Virginia,Totals,2019,black,5517,1642,373575,0.44,29.76,4.4,297.63
51,Virginia,Totals,2019,white,5517,3273,1154736,0.28,59.33,2.83,593.26
51,Virginia,Totals,2019,asian,5517,36,111854,0.03,0.65,0.32,6.53
51,Virginia,Totals,2019,multiracial,5517,473,150313,0.31,8.57,3.15,85.74
51,Virginia,Totals,2019,hispanic,5517,611,256038,0.24,11.07,2.39,110.75
51003,Albemarle,Piedmont,2020,all,100,100,21863,0.46,100,4.57,1000
51003,Albemarle,Piedmont,2020,black,100,36,2300,1.57,36,15.65,360
51003,Albemarle,Piedmont,2020,white,100,54,16541,0.33,54,3.26,540
51003,Albemarle,Piedmont,2020,asian,100,0,1041,0,0,0,0
51003,Albemarle,Piedmont,2020,multiracial,100,10,1443,0.69,10,6.93,100
51003,Albemarle,Piedmont,2020,hispanic,100,19,2099,0.91,19,9.05,190
51540,Charlottesville,Piedmont,2020,all,87,87,7321,1.19,100,11.88,1000
51540,Charlottesville,Piedmont,2020,black,87,52,2000,2.6,59.77,26,597.7
51540,Charlottesville,Piedmont,2020,white,87,17,4307,0.39,19.54,3.95,195.4
51540,Charlottesville,Piedmont,2020,asian,87,4,417,0.96,4.6,9.59,45.98
51540,Charlottesville,Piedmont,2020,multiracial,87,13,456,2.85,14.94,28.51,149.43
51540,Charlottesville,Piedmont,2020,hispanic,87,5,800,0.62,5.75,6.25,57.47
51,Virginia,Totals,2020,all,5378,5378,1868597,0.29,100,2.88,1000
51,Virginia,Totals,2020,black,5378,1512,370122,0.41,28.11,4.09,281.15
51,Virginia,Totals,2020,white,5378,3209,1120554,0.29,59.67,2.86,596.69
51,Virginia,Totals,2020,asian,5378,48,121366,0.04,0.89,0.4,8.93
51,Virginia,Totals,2020,multiracial,5378,498,174014,0.29,9.26,2.86,92.6
51,Virginia,Totals,2020,hispanic,5378,605,259092,0.23,11.25,2.34,112.5
51003,Albemarle,Piedmont,2021,all,108,108,22417,0.48,100,4.82,1000
51003,Albemarle,Piedmont,2021,black,108,42,1915,2.19,38.89,21.93,388.89
51003,Albemarle,Piedmont,2021,white,108,59,16536,0.36,54.63,3.57,546.3
51003,Albemarle,Piedmont,2021,asian,108,0,1074,0,0,0,0
51003,Albemarle,Piedmont,2021,multiracial,108,5,2199,0.23,4.63,2.27,46.3
51003,Albemarle,Piedmont,2021,hispanic,108,20,2157,0.93,18.52,9.27,185.19
51540,Charlottesville,Piedmont,2021,all,76,76,7314,1.04,100,10.39,1000
51540,Charlottesville,Piedmont,2021,black,76,44,1889,2.33,57.89,23.29,578.95
