year,group,cohortsize,enrolledany,percentany,enrolled4pub,percent4pub,enrolled4priv,percent4priv,enrolled4yr,percent4yr,enrolled2yr,pecen2yr,locality
2017,All Students,264,187,71,85,32,39,15,124,46.97,63,24,Charlottesville
2017,Female,126,89,71,47,37,16,13,63,50,26,21,Charlottesville
2017,Male,138,98,71,38,28,23,17,61,44.2,37,27,Charlottesville
2017,American Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlottesville
2017,Asian,15,11,73,4,27,1,7,5,33.33,6,40,Charlottesville
2017,Black,79,53,67,25,32,4,5,29,36.71,24,30,Charlottesville
2017,Hispanic,26,12,46,1,4,4,15,5,19.23,7,27,Charlottesville
2017,White,132,103,78,52,39,29,22,81,61.36,22,17,Charlottesville
2017,2 or More,10,8,80,3,30,1,10,4,40,4,40,Charlottesville
2017,Economically Disadvantaged,112,68,61,29,26,4,4,33,29.46,35,31,Charlottesville
2017,Limited English Proficient Students,24,15,63,2,8,2,8,4,16.67,11,46,Charlottesville
2018,All Students,237,177,75,79,33,35,15,114,48.1,63,27,Charlottesville
2018,Female,140,112,80,55,39,20,14,75,53.57,37,26,Charlottesville
2018,Male,97,65,67,24,25,15,15,39,40.21,26,27,Charlottesville
2018,Asian,19,17,89,4,21,NA,NA,4,21.05,13,68,Charlottesville
2018,Black,76,50,66,18,24,4,5,22,28.95,28,37,Charlottesville
2018,Hispanic,21,14,67,6,29,2,10,8,38.1,6,29,Charlottesville
2018,White,116,92,79,50,43,29,25,79,68.1,13,11,Charlottesville
2018,2 or More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlottesville
2018,Economically Disadvantaged,96,62,65,20,21,3,3,23,23.96,39,41,Charlottesville
2018,Limited English Proficient Students,25,19,76,2,8,NA,NA,2,8,17,68,Charlottesville
2018,Students with Disabilities,16,7,44,1,6,1,6,2,12.5,5,31,Charlottesville
2019,All Students,254,175,69,77,30,35,14,112,44.09,63,25,Charlottesville
2019,Female,132,99,75,43,33,20,15,63,47.73,36,27,Charlottesville
2019,Male,122,76,62,34,28,15,12,49,40.16,27,22,Charlottesville
2019,Asian,12,10,83,4,33,NA,NA,4,33.33,6,50,Charlottesville
2019,Black,87,52,60,17,20,8,9,25,28.74,27,31,Charlottesville
2019,Hispanic,30,19,63,5,17,3,10,8,26.67,11,37,Charlottesville
2019,Native Hawaiian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlottesville
2019,White,113,87,77,47,42,22,19,69,61.06,18,16,Charlottesville
2019,2 or More,11,7,64,4,36,2,18,6,54.55,1,9,Charlottesville
2019,Economically Disadvantaged,101,61,60,16,16,10,10,26,25.74,35,35,Charlottesville
2019,Limited English Proficient Students,21,14,67,2,10,NA,NA,2,9.52,12,57,Charlottesville
2020,All Students,270,176,65,79,29,37,14,116,42.96,60,22,Charlottesville
2020,Female,134,95,71,45,34,17,13,62,46.27,33,25,Charlottesville
2020,Male,136,81,60,34,25,20,15,54,39.71,27,20,Charlottesville
2020,Asian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlottesville
2020,Black,74,32,43,12,16,4,5,16,21.62,16,22,Charlottesville
2020,Hispanic,26,17,65,5,19,3,12,8,30.77,9,35,Charlottesville
2020,White,142,107,75,56,39,27,19,83,58.45,24,17,Charlottesville
2020,2 or More,20,13,65,3,15,2,10,5,25,8,40,Charlottesville
2020,Economically Disadvantaged,108,51,47,13,12,6,6,19,17.59,32,30,Charlottesville
2020,Limited English Proficient Students,22,15,68,2,9,1,5,3,13.64,12,55,Charlottesville
2020,Students with Disabilities,24,12,50,2,8,2,8,4,16.67,8,33,Charlottesville
2021,All Students,248,168,68,78,31,28,11,106,42.74,62,25,Charlottesville
2021,Female,125,91,73,39,31,17,14,56,44.8,35,28,Charlottesville
2021,Male,123,77,63,39,32,11,9,50,40.65,27,22,Charlottesville
2021,Asian,22,19,86,8,36,1,5,9,40.91,10,45,Charlottesville
2021,Black,66,40,61,15,23,4,6,19,28.79,21,32,Charlottesville
2021,Hispanic,34,14,41,4,12,2,6,6,17.65,8,24,Charlottesville
2021,White,112,84,75,47,42,19,17,66,58.93,18,16,Charlottesville
2021,2 or More,14,11,79,4,29,2,14,6,42.86,5,36,Charlottesville
2021,Economically Disadvantaged,118,62,53,23,19,5,4,28,23.73,34,29,Charlottesville
2021,Limited English Proficient Students,26,15,58,2,8,NA,NA,2,7.69,13,50,Charlottesville
2021,Students with Disabilities,22,11,50,3,14,1,5,4,18.18,7,32,Charlottesville
2022,All Students,259,185,71,75,29,34,13,109,42.08,76,29,Charlottesville
2022,Female,132,94,71,39,30,20,15,59,44.7,35,27,Charlottesville
2022,Male,127,91,72,36,28,14,11,50,39.37,41,32,Charlottesville
2022,Asian,15,13,87,4,27,2,13,6,40,7,47,Charlottesville
2022,Black,56,31,55,10,18,5,9,15,26.79,16,29,Charlottesville
2022,Hispanic,30,19,63,3,10,1,3,4,13.33,15,50,Charlottesville
2022,White,133,105,79,51,38,24,18,75,56.39,30,23,Charlottesville
2022,2 or More,25,17,68,7,28,2,8,9,36,8,32,Charlottesville
2022,Economically Disadvantaged,105,64,61,15,14,5,5,20,19.05,44,42,Charlottesville
2022,Limited English Proficient Students,34,24,71,4,12,2,6,6,17.65,18,53,Charlottesville
2022,Students with Disabilities,28,11,39,2,7,1,4,3,10.71,8,29,Charlottesville
2023,All Students,268,178,66,89,33,27,10,116,43.28,62,23,Charlottesville
2023,Female,143,108,76,58,41,17,12,75,52.45,33,23,Charlottesville
2023,Male,125,70,56,31,25,10,8,41,32.8,29,23,Charlottesville
2023,American Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlottesville
2023,Asian,14,12,86,3,21,4,29,7,50,5,36,Charlottesville
2023,Black,81,35,43,15,19,4,5,19,23.46,16,20,Charlottesville
2023,Hispanic,30,21,70,7,23,3,10,10,33.33,11,37,Charlottesville
2023,White,123,94,76,55,45,16,13,71,57.72,23,19,Charlottesville
2023,2 or More,19,16,84,9,47,NA,NA,9,47.37,7,37,Charlottesville
2023,Economically Disadvantaged,114,60,53,17,15,8,7,25,21.93,35,31,Charlottesville
2023,Limited English Proficient Students,23,14,61,3,13,1,4,4,17.39,10,43,Charlottesville
2014,All Students,917,714,78,404,44,135,15,539,58.78,175,19,Albemarle
2014,Female,477,396,83,230,48,69,14,299,62.68,97,20,Albemarle
2014,Male,440,318,72,174,40,66,15,240,54.55,78,18,Albemarle
2014,American Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albemarle
2014,Asian,39,34,87,20,51,7,18,27,69.23,7,18,Albemarle
2014,Black,97,64,66,27,28,11,11,38,39.18,26,27,Albemarle
2014,Hispanic,59,37,63,12,20,8,14,20,33.9,17,29,Albemarle
2014,White,688,555,81,332,48,104,15,436,63.37,119,17,Albemarle
2014,2 or More,30,22,73,12,40,5,17,17,56.67,5,17,Albemarle
2014,Economically Disadvantaged,163,91,56,29,18,9,6,38,23.31,53,33,Albemarle
2014,Limited English Proficient Students,47,33,70,15,32,1,2,16,34.04,17,36,Albemarle
2015,All Students,908,722,80,419,46,108,12,527,58.04,195,21,Albemarle
2015,Female,441,362,82,213,48,62,14,275,62.36,87,20,Albemarle
2015,Male,467,360,77,206,44,46,10,252,53.96,108,23,Albemarle
2015,Asian,44,42,95,27,61,5,11,32,72.73,10,23,Albemarle
2015,Black,83,62,75,26,31,13,16,39,46.99,23,28,Albemarle
2015,Hispanic,67,46,69,20,30,5,7,25,37.31,21,31,Albemarle
2015,White,668,533,80,326,49,81,12,407,60.93,126,19,Albemarle
2015,2 or More,46,39,85,20,43,4,9,24,52.17,15,33,Albemarle
2015,Economically Disadvantaged,167,101,60,36,22,11,7,47,28.14,54,32,Albemarle
2015,Limited English Proficient Students,48,35,73,12,25,2,4,14,29.17,21,44,Albemarle
2015,Students with Disabilities,80,56,70,18,23,6,8,24,30,32,40,Albemarle
2016,All Students,948,730,77,410,43,144,15,554,58.44,176,19,Albemarle
2016,Female,476,378,79,228,48,78,16,306,64.29,72,15,Albemarle
2016,Male,472,352,75,182,39,66,14,248,52.54,104,22,Albemarle
2016,American Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albemarle
2016,Asian,36,33,92,21,58,8,22,29,80.56,4,11,Albemarle
2016,Black,103,61,59,33,32,12,12,45,43.69,16,16,Albemarle
2016,Hispanic,69,45,65,15,22,2,3,17,24.64,28,41,Albemarle
2016,Native Hawaiian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albemarle
2016,White,698,556,80,324,46,115,16,439,62.89,117,17,Albemarle
2016,2 or More,39,32,82,15,38,7,18,22,56.41,10,26,Albemarle
2016,Economically Disadvantaged,155,77,50,23,15,11,7,34,21.94,43,28,Albemarle
2017,All Students,953,740,78,432,45,98,10,530,55.61,210,22,Albemarle
2017,Female,505,427,85,266,53,50,10,316,62.57,111,22,Albemarle
2017,Male,448,313,70,166,37,48,11,214,47.77,99,22,Albemarle
2017,American Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albemarle
2017,Asian,45,42,93,25,56,6,13,31,68.89,11,24,Albemarle
2017,Black,115,76,66,30,26,13,11,43,37.39,33,29,Albemarle
2017,Hispanic,74,42,57,16,22,2,3,18,24.32,24,32,Albemarle
2017,Native Hawaiian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albemarle
2017,White,665,542,82,342,51,72,11,414,62.26,128,19,Albemarle
2017,2 or More,49,34,69,19,39,4,8,23,46.94,11,22,Albemarle
2017,Economically Disadvantaged,198,111,56,32,16,14,7,46,23.23,65,33,Albemarle
2018,All Students,1016,761,75,437,43,106,10,543,53.44,218,21,Albemarle
2018,Female,517,416,80,237,46,71,14,308,59.57,108,21,Albemarle
2018,Male,499,345,69,200,40,35,7,235,47.09,110,22,Albemarle
2018,American Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albemarle
2018,Asian,50,44,88,25,50,6,12,31,62,13,26,Albemarle
2018,Black,103,68,66,24,23,9,9,33,32.04,35,34,Albemarle
2018,Hispanic,85,41,48,11,13,NA,NA,11,12.94,30,35,Albemarle
2018,White,720,565,78,350,49,87,12,437,60.69,128,18,Albemarle
2018,2 or More,53,40,75,27,51,3,6,30,56.6,10,19,Albemarle
2018,Economically Disadvantaged,211,117,55,28,13,19,9,47,22.27,70,33,Albemarle
2018,Limited English Proficient Students,68,38,56,6,9,1,1,7,10.29,31,46,Albemarle
2019,All Students,991,770,78,456,46,109,11,565,57.01,205,21,Albemarle
2019,Female,488,415,85,231,47,76,16,307,62.91,108,22,Albemarle
2019,Male,503,355,71,225,45,33,7,258,51.29,97,19,Albemarle
2019,Asian,49,45,92,30,61,6,12,36,73.47,9,18,Albemarle
2019,Black,100,62,62,26,26,15,15,41,41,21,21,Albemarle
2019,Hispanic,94,51,54,10,11,6,6,16,17.02,35,37,Albemarle
2019,Native Hawaiian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albemarle
2019,White,702,575,82,365,52,78,11,443,63.11,132,19,Albemarle
2019,2 or More,44,36,82,25,57,4,9,29,65.91,7,16,Albemarle
2019,Economically Disadvantaged,215,126,59,36,17,16,7,52,24.19,74,34,Albemarle
2019,Limited English Proficient Students,60,27,45,5,8,1,2,6,10,21,35,Albemarle
2020,All Students,999,750,75,421,42,102,10,523,52.35,227,23,Albemarle
2020,Female,487,396,81,238,49,54,11,292,59.96,104,21,Albemarle
2020,Male,512,354,69,183,36,48,9,231,45.12,123,24,Albemarle
2020,Asian,45,43,96,26,58,5,11,31,68.89,12,27,Albemarle
2020,Black,104,64,62,24,23,6,6,30,28.85,34,33,Albemarle
2020,Hispanic,100,54,54,17,17,7,7,24,24,30,30,Albemarle
2020,White,693,542,78,335,48,78,11,413,59.6,129,19,Albemarle
2020,2 or More,57,47,82,19,33,6,11,25,43.86,22,39,Albemarle
2020,Economically Disadvantaged,246,136,55,48,20,9,4,57,23.17,79,32,Albemarle
2020,Limited English Proficient Students,68,37,54,10,15,1,1,11,16.18,26,38,Albemarle
2020,Students with Disabilities,102,47,46,11,11,6,6,17,16.67,30,29,Albemarle
2021,All Students,1024,767,75,441,43,115,11,556,54.3,211,21,Albemarle
2021,Female,534,434,81,257,48,74,14,331,61.99,103,19,Albemarle
2021,Male,490,333,68,184,38,41,8,225,45.92,108,22,Albemarle
2021,Asian,68,61,90,44,65,6,9,50,73.53,11,16,Albemarle
2021,Black,111,72,65,28,25,11,10,39,35.14,33,30,Albemarle
2021,Hispanic,115,58,50,24,21,4,3,28,24.35,30,26,Albemarle
2021,White,675,535,79,322,48,86,13,408,60.44,127,19,Albemarle
2021,2 or More,55,41,75,23,42,8,15,31,56.36,10,18,Albemarle
2021,Economically Disadvantaged,270,144,53,51,19,16,6,67,24.81,77,29,Albemarle
2021,Limited English Proficient Students,73,34,47,11,15,2,3,13,17.81,21,29,Albemarle
2021,Students with Disabilities,129,61,47,19,15,7,5,26,20.16,35,27,Albemarle
2022,All Students,1004,758,75,391,39,132,13,523,52.09,235,23,Albemarle
2022,Female,510,416,82,197,39,78,15,275,53.92,141,28,Albemarle
2022,Male,494,342,69,194,39,54,11,248,50.2,94,19,Albemarle
2022,American Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albemarle
2022,Asian,47,40,85,19,40,7,15,26,55.32,14,30,Albemarle
2022,Black,98,61,62,28,29,13,13,41,41.84,20,20,Albemarle
2022,Hispanic,121,66,55,17,14,5,4,22,18.18,44,36,Albemarle
2022,White,676,543,80,310,46,97,14,407,60.21,136,20,Albemarle
2022,2 or More,60,46,77,17,28,10,17,27,45,19,32,Albemarle
2022,Economically Disadvantaged,225,115,51,30,13,17,8,47,20.89,68,30,Albemarle
2022,Limited English Proficient Students,71,34,48,5,7,2,3,7,9.86,27,38,Albemarle
2023,All Students,1040,746,72,448,43,113,11,561,53.94,185,18,Albemarle
2023,Female,517,412,80,248,48,71,14,319,61.7,93,18,Albemarle
2023,Male,523,334,64,200,38,42,8,242,46.27,92,18,Albemarle
2023,American Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albemarle
2023,Asian,63,56,89,35,56,5,8,40,63.49,16,25,Albemarle
2023,Black,116,68,59,32,28,16,14,48,41.38,20,17,Albemarle
2023,Hispanic,122,59,48,19,16,6,5,25,20.49,34,28,Albemarle
2023,White,670,518,77,338,50,79,12,417,62.24,101,15,Albemarle
2023,2 or More,67,43,64,24,36,7,10,31,46.27,12,18,Albemarle
2023,Economically Disadvantaged,259,127,49,46,18,18,7,64,24.71,63,24,Albemarle
2023,Limited English Proficient Students,67,29,43,4,6,1,1,5,7.46,24,36,Albemarle
2014,All Students,80763,58047,72,26320,33,8552,11,34872,43.18,23175,29,Virginia
2014,Female,41015,31547,77,14502,35,4853,12,19355,47.19,12192,30,Virginia
2014,Male,39748,26500,67,11818,30,3699,9,15517,39.04,10983,28,Virginia
2014,American Indian,254,166,65,55,22,27,11,82,32.28,84,33,Virginia
2014,Asian,5269,4543,86,2753,52,446,8,3199,60.71,1344,26,Virginia
2014,Black,17577,11619,66,4203,24,2205,13,6408,36.46,5211,30,Virginia
2014,Hispanic,7574,4891,65,1535,20,505,7,2040,26.93,2851,38,Virginia
2014,Native Hawaiian,114,77,68,35,31,7,6,42,36.84,35,31,Virginia
2014,White,46765,34406,74,16622,36,4996,11,21618,46.23,12788,27,Virginia
2014,2 or More,3210,2345,73,1117,35,366,11,1483,46.2,862,27,Virginia
2014,Economically Disadvantaged,22888,13446,59,3544,15,1858,8,5402,23.6,8044,35,Virginia
2015,All Students,80031,57830,72,27074,34,8219,10,35293,44.1,22537,28,Virginia
2015,Female,40464,31282,77,15093,37,4634,11,19727,48.75,11555,29,Virginia
2015,Male,39567,26548,67,11981,30,3585,9,15566,39.34,10982,28,Virginia
2015,American Indian,254,166,65,68,27,24,9,92,36.22,74,29,Virginia
2015,Asian,5267,4585,87,2780,53,411,8,3191,60.58,1394,26,Virginia
2015,Black,17169,11334,66,4427,26,2027,12,6454,37.59,4880,28,Virginia
2015,Hispanic,8078,5272,65,1687,21,543,7,2230,27.61,3042,38,Virginia
2015,Native Hawaiian,114,73,64,30,26,9,8,39,34.21,34,30,Virginia
2015,White,45762,33889,74,16833,37,4810,11,21643,47.29,12246,27,Virginia
2015,2 or More,3387,2511,74,1249,37,395,12,1644,48.54,867,26,Virginia
2015,Economically Disadvantaged,22410,13025,58,3766,17,1701,8,5467,24.4,7558,34,Virginia
2016,All Students,82494,58608,71,27602,33,8652,10,36254,43.95,22354,27,Virginia
2016,Female,41551,31696,76,15324,37,4888,12,20212,48.64,11484,28,Virginia
2016,Male,40943,26912,66,12278,30,3764,9,16042,39.18,10870,27,Virginia
2016,American Indian,220,138,63,53,24,22,10,75,34.09,63,29,Virginia
2016,Asian,5492,4765,87,2879,52,497,9,3376,61.47,1389,25,Virginia
2016,Black,18276,11936,65,4926,27,2111,12,7037,38.5,4899,27,Virginia
2016,Hispanic,8552,5467,64,1808,21,535,6,2343,27.4,3124,37,Virginia
2016,Native Hawaiian,111,71,64,31,28,10,9,41,36.94,30,27,Virginia
2016,White,46321,33687,73,16670,36,5095,11,21765,46.99,11922,26,Virginia
2016,2 or More,3522,2544,72,1235,35,382,11,1617,45.91,927,26,Virginia
2016,Economically Disadvantaged,23522,13417,57,4112,17,1704,7,5816,24.73,7601,32,Virginia
2017,All Students,83310,58981,71,28775,35,8559,10,37334,44.81,21647,26,Virginia
2017,Female,42046,32138,76,16198,39,4817,11,21015,49.98,11123,26,Virginia
2017,Male,41264,26843,65,12577,30,3742,9,16319,39.55,10524,26,Virginia
2017,American Indian,246,153,62,59,24,26,11,85,34.55,68,28,Virginia
2017,Asian,5590,4893,88,3140,56,525,9,3665,65.56,1228,22,Virginia
2017,Black,18366,11787,64,5285,29,1956,11,7241,39.43,4546,25,Virginia
2017,Hispanic,9236,5823,63,1979,21,578,6,2557,27.69,3266,35,Virginia
2017,Native Hawaiian,125,76,61,35,28,10,8,45,36,31,25,Virginia
2017,White,45926,33476,73,16903,37,5010,11,21913,47.71,11563,25,Virginia
2017,2 or More,3821,2773,73,1374,36,454,12,1828,47.84,945,25,Virginia
2017,Economically Disadvantaged,24871,13984,56,4562,18,1725,7,6287,25.28,7697,31,Virginia
2018,All Students,85891,59816,70,29013,34,9188,11,38201,44.48,21615,25,Virginia
2018,Female,43223,32616,75,16304,38,5143,12,21447,49.62,11169,26,Virginia
2018,Male,42668,27200,64,12709,30,4045,9,16754,39.27,10446,24,Virginia
2018,American Indian,265,173,65,71,27,28,11,99,37.36,74,28,Virginia
2018,Asian,6083,5318,87,3331,55,583,10,3914,64.34,1404,23,Virginia
2018,Black,18863,11981,64,5364,28,2096,11,7460,39.55,4521,24,Virginia
2018,Hispanic,10101,6146,61,2050,20,655,6,2705,26.78,3441,34,Virginia
2018,Native Hawaiian,142,93,65,45,32,13,9,58,40.85,35,25,Virginia
2018,White,46447,33278,72,16744,36,5355,12,22099,47.58,11179,24,Virginia
2018,2 or More,3990,2827,71,1408,35,458,11,1866,46.77,961,24,Virginia
2018,Economically Disadvantaged,27326,15181,56,4981,18,2079,8,7060,25.84,8121,30,Virginia
2019,All Students,86211,59304,69,29627,34,8914,10,38541,44.71,20763,24,Virginia
2019,Female,43379,32510,75,16646,38,5040,12,21686,49.99,10824,25,Virginia
2019,Male,42832,26794,63,12981,30,3874,9,16855,39.35,9939,23,Virginia
2019,American Indian,220,135,61,49,22,18,8,67,30.45,68,31,Virginia
2019,Asian,6380,5532,87,3694,58,561,9,4255,66.69,1277,20,Virginia
2019,Black,18493,11389,62,5380,29,1902,10,7282,39.38,4107,22,Virginia
2019,Hispanic,10799,6312,58,2193,20,749,7,2942,27.24,3370,31,Virginia
2019,Native Hawaiian,124,80,65,37,30,9,7,46,37.1,34,27,Virginia
2019,White,46061,32974,72,16788,36,5223,11,22011,47.79,10963,24,Virginia
2019,2 or More,4134,2882,70,1486,36,452,11,1938,46.88,944,23,Virginia
2019,Economically Disadvantaged,28169,15202,54,5297,19,1995,7,7292,25.89,7910,28,Virginia
2020,All Students,87317,57347,66,27641,32,8555,10,36196,41.45,21151,24,Virginia
2020,Female,43705,31682,72,15624,36,4736,11,20360,46.59,11322,26,Virginia
2020,Male,43612,25665,59,12017,28,3819,9,15836,36.31,9829,23,Virginia
2020,American Indian,232,129,56,57,25,20,9,77,33.19,52,22,Virginia
2020,Asian,6741,5882,87,3523,52,654,10,4177,61.96,1705,25,Virginia
2020,Black,18624,10698,57,4890,26,1744,9,6634,35.62,4064,22,Virginia
2020,Hispanic,12110,6671,55,2238,18,751,6,2989,24.68,3682,30,Virginia
2020,Native Hawaiian,132,94,71,39,30,18,14,57,43.18,37,28,Virginia
2020,White,45098,30939,69,15446,34,4886,11,20332,45.08,10607,24,Virginia
2020,2 or More,4380,2934,67,1448,33,482,11,1930,44.06,1004,23,Virginia
2020,Economically Disadvantaged,30335,15107,50,5176,17,1965,6,7141,23.54,7966,26,Virginia
2021,All Students,87206,57762,66,28608,33,8942,10,37550,43.06,20212,23,Virginia
2021,Female,44030,31976,73,16124,37,5167,12,21291,48.36,10685,24,Virginia
2021,Male,43164,25780,60,12478,29,3775,9,16253,37.65,9527,22,Virginia
2021,American Indian,199,114,57,48,24,19,10,67,33.67,47,24,Virginia
2021,Asian,6972,6151,88,3782,54,707,10,4489,64.39,1662,24,Virginia
2021,Black,18349,10705,58,5298,29,1776,10,7074,38.55,3631,20,Virginia
2021,Hispanic,12081,6818,56,2385,20,794,7,3179,26.31,3639,30,Virginia
2021,Native Hawaiian,164,106,65,60,37,16,10,76,46.34,30,18,Virginia
2021,White,44842,30843,69,15564,35,5077,11,20641,46.03,10202,23,Virginia
2021,2 or More,4599,3025,66,1471,32,553,12,2024,44.01,1001,22,Virginia
2021,Economically Disadvantaged,30371,15329,50,5653,19,2001,7,7654,25.2,7675,25,Virginia
2022,All Students,87947,58787,67,30028,34,8687,10,38715,44.02,20072,23,Virginia
2022,Female,44125,32246,73,16690,38,4953,11,21643,49.05,10603,24,Virginia
2022,Male,43771,26522,61,13331,30,3731,9,17062,38.98,9460,22,Virginia
2022,American Indian,173,107,62,38,22,19,11,57,32.95,50,29,Virginia
2022,Asian,7326,6406,87,4141,57,701,10,4842,66.09,1564,21,Virginia
2022,Black,18153,10957,60,5703,31,1600,9,7303,40.23,3654,20,Virginia
2022,Hispanic,12866,7348,57,2657,21,820,6,3477,27.02,3871,30,Virginia
2022,Native Hawaiian,137,87,64,45,33,14,10,59,43.07,28,20,Virginia
2022,White,44455,30645,69,15731,35,5057,11,20788,46.76,9857,22,Virginia
2022,2 or More,4837,3237,67,1713,35,476,10,2189,45.26,1048,22,Virginia
2022,Economically Disadvantaged,30889,16128,52,6093,20,1942,6,8035,26.01,8093,26,Virginia
2023,All Students,87995,56397,64,29515,34,8717,10,38232,43.45,18165,21,Virginia
2023,Female,43825,30968,71,16552,38,4970,11,21522,49.11,9446,22,Virginia
2023,Male,44068,25387,58,12938,29,3742,8,16680,37.85,8707,20,Virginia
2023,American Indian,230,127,55,52,23,16,7,68,29.57,59,26,Virginia
2023,Asian,7252,6271,86,4188,58,701,10,4889,67.42,1382,19,Virginia
2023,Black,18247,10591,58,5618,31,1787,10,7405,40.58,3186,17,Virginia
2023,Hispanic,14010,7355,52,2683,19,825,6,3508,25.04,3847,27,Virginia
2023,Native Hawaiian,157,94,60,51,32,18,11,69,43.95,25,16,Virginia
2023,White,43094,28736,67,15136,35,4803,11,19939,46.27,8797,20,Virginia
2023,2 or More,5005,3223,64,1787,36,567,11,2354,47.03,869,17,Virginia
2023,Economically Disadvantaged,31680,15774,50,6167,19,2061,7,8228,25.97,7546,24,Virginia
