year,group,cohortsize,enrolledany,percentany,enrolled4pub,percent4pub,enrolled4priv,percent4priv,enrolled4yr,percent4yr,enrolled2yr,pecen2yr,locality
2014,All Students,228,158,69,74,32,25,11,99,43.42,59,26,Charlottesville
2014,Female,127,95,75,48,38,16,13,64,50.39,31,24,Charlottesville
2014,Male,101,63,62,26,26,9,9,35,34.65,28,28,Charlottesville
2014,Asian,15,12,80,2,13,3,20,5,33.33,7,47,Charlottesville
2014,Black,91,52,57,18,20,4,4,22,24.18,30,33,Charlottesville
2014,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlottesville
2014,White,114,87,76,51,45,18,16,69,60.53,18,16,Charlottesville
2014,2 or More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlottesville
2014,Economically Disadvantaged,95,58,61,16,17,4,4,20,21.05,38,40,Charlottesville
2014,Limited English Proficient Students,18,15,83,2,11,NA,NA,2,11.11,13,72,Charlottesville
2014,Students with Disabilities,14,5,36,NA,NA,1,7,1,7.14,4,29,Charlottesville
2015,All Students,233,169,73,71,30,35,15,106,45.49,63,27,Charlottesville
2015,Female,118,87,74,35,30,22,19,57,48.31,30,25,Charlottesville
2015,Male,115,82,71,36,31,13,11,49,42.61,33,29,Charlottesville
2015,Asian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlottesville
2015,Black,68,43,63,14,21,4,6,18,26.47,25,37,Charlottesville
2015,Hispanic,17,11,65,4,24,NA,NA,4,23.53,7,41,Charlottesville
2015,White,132,104,79,50,38,29,22,79,59.85,25,19,Charlottesville
2015,2 or More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlottesville
2015,Economically Disadvantaged,93,56,60,12,13,6,6,18,19.35,38,41,Charlottesville
2015,Limited English Proficient Students,13,10,77,2,15,NA,NA,2,15.38,8,62,Charlottesville
2015,Students with Disabilities,20,10,50,1,5,4,20,5,25,5,25,Charlottesville
2016,All Students,219,162,74,66,30,37,17,103,47.03,59,27,Charlottesville
2016,Female,122,93,76,40,33,22,18,62,50.82,31,25,Charlottesville
2016,Male,97,69,71,26,27,15,15,41,42.27,28,29,Charlottesville
2016,Asian,12,11,92,3,25,1,8,4,33.33,7,58,Charlottesville
2016,Black,69,43,62,16,23,5,7,21,30.43,22,32,Charlottesville
2016,Hispanic,10,7,70,NA,NA,NA,NA,NA,NA,7,70,Charlottesville
2016,White,117,93,79,46,39,30,26,76,64.96,17,15,Charlottesville
2016,2 or More,11,8,73,1,9,1,9,2,18.18,6,55,Charlottesville
2016,Economically Disadvantaged,95,61,64,14,15,4,4,18,18.95,43,45,Charlottesville
2016,Limited English Proficient Students,18,14,78,1,6,NA,NA,1,5.56,13,72,Charlottesville
2016,Students with Disabilities,15,10,67,NA,NA,1,7,1,6.67,9,60,Charlottesville
