locality,GEOID,locality_num,tract,tractnames
Charlottesville,51540000800,540,000800,Greenbrier-Meadows
Charlottesville,51540000900,540,000900,Locust Grove
Charlottesville,51540000700,540,000700,Barracks-Rugby
Charlottesville,51540000201,540,000201,Rose Hill-Harris-Venable
Charlottesville,51540000202,540,000202,10th & Page-Venable
Charlottesville,51540001000,540,001000,Downtown Area
Charlottesville,51540000302,540,000302,Woolen Mills
Charlottesville,51540000600,540,000600,JPA-Fontaine
Charlottesville,51540000502,540,000502,Fry's Springs
Charlottesville,51540000501,540,000501,Fifeville-Cherry Avenue
Charlottesville,51540000401,540,000401,Ridge St.
Charlottesville,51540000402,540,000402,Belmont
Greene,51079030102,079,030102,Monroe
Greene,51079030201,079,030201,Midway
Greene,51079030202,079,030202,Ruckersville
Greene,51079030101,079,030101,Stanardsville
Louisa,51109950303,109,950303,Trevillians
Louisa,51109950201,109,950201,Town of Louisa
Louisa,51109950202,109,950202,Mineral
Louisa,51109950102,109,950102,Cuckoo District
Louisa,51109950101,109,950101,Bumpus-Mountain Road District-Buckner
Louisa,51109950500,109,950500,Gum Springs-Holly Grove
Louisa,51109950400,109,950400,Ferncliff-Shannon Hill (Yanceyville)
Louisa,51109950301,109,950301,Zion Crossroads
Louisa,51109950302,109,950302,Green Springs
Nelson,51125950101,125,950101,Wintergreen-Wingina
Nelson,51125950102,125,950102,Lovingston
Nelson,51125950300,125,950300,Roseland
Nelson,51125950201,125,950201,Afton-Schuyler
Nelson,51125950202,125,950202,Wintergreen-Rockfish Valley
Fluvanna,51065020101,065,020101,Palmyra
Fluvanna,51065020104,065,020104,Rivanna
Fluvanna,51065020103,065,020103,Lake Monticello
Fluvanna,51065020200,065,020200,Columbia/Fork Union
Fluvanna,51065020300,065,020300,Cunningham
Albemarle,51003010100,003,010100,Free Union
Albemarle,51003010201,003,010201,Charlottesville-Albemarle Airport
Albemarle,51003010202,003,010202,Earlysville
Albemarle,51003010301,003,010301,Berkmar Drive
Albemarle,51003010302,003,010302,Polo Grounds Road
Albemarle,51003010303,003,010303,Hollymead
Albemarle,51003010401,003,010401,Stony Point-Keswick
Albemarle,51003010402,003,010402,Village of Rivanna
Albemarle,51003010501,003,010501,Darden-Key West
Albemarle,51003010502,003,010502,Pantops
Albemarle,51003010602,003,010602,Dunlora-Stone Henge
Albemarle,51003010603,003,010603,Branchland
Albemarle,51003010604,003,010604,Woodbrook-Carrsbrook
Albemarle,51003010701,003,010701,Hydraulic
Albemarle,51003010702,003,010702,Commonwealth-Townwood-Berkmar
Albemarle,51003010801,003,010801,Barracks-Hessian Hills
Albemarle,51003010802,003,010802,Albemarle High School
Albemarle,51003010901,003,010901,Old Ivy-Darden School (UVA)
Albemarle,51003010904,003,010904,Carr's Hill-McCormick Road (UVA)
Albemarle,51003011000,003,011000,Ivy
Albemarle,51003011101,003,011101,Crozet-Beaver Creek
Albemarle,51003011102,003,011102,Western Ridge-Westhall
Albemarle,51003011103,003,011103,Old Trail
Albemarle,51003011201,003,011201,"Yancey Mills, Batesville"
Albemarle,51003011202,003,011202,North Garden
Albemarle,51003011301,003,011301,"Monticello, Carters Mountain"
Albemarle,51003011302,003,011302,"Oak Hill, Southwood"
Albemarle,51003011303,003,011303,Avon Street Ext.-Mill Creek
Albemarle,51003011400,003,011400,Southern Albemarle-Scottsville
