location_type,location,time_frame,percent_prenatal_care
State,Virginia,2010,81.866
State,Virginia,2011,82.69999999999999
State,Virginia,2012,83.03
State,Virginia,2013,82.926
State,Virginia,2014,82.801
State,Virginia,2015,85.237
State,Virginia,2016,84.306
State,Virginia,2017,79.67699999999999
State,Virginia,2018,78.429
State,Virginia,2019,78.309
State,Virginia,2020,79.392
State,Virginia,2021,79.67
State,Virginia,2022,78.689
State,Virginia,2023,78.008
County,Albemarle,2010,78.245
County,Albemarle,2011,78.8
County,Albemarle,2012,81.01
County,Albemarle,2013,78.66499999999999
County,Albemarle,2014,81.008
County,Albemarle,2015,79.103
County,Albemarle,2016,81.28800000000001
County,Albemarle,2017,81.214
County,Albemarle,2018,78.99199999999999
County,Albemarle,2019,79.337
County,Albemarle,2020,78.95299999999999
County,Albemarle,2021,80.34400000000001
County,Albemarle,2022,80.755
County,Albemarle,2023,82.15
County,Charlottesville,2010,76.277
County,Charlottesville,2011,78.8
County,Charlottesville,2012,76.7
County,Charlottesville,2013,80.392
County,Charlottesville,2014,80
County,Charlottesville,2015,79.617
County,Charlottesville,2016,78.456
County,Charlottesville,2017,82.594
County,Charlottesville,2018,82.314
County,Charlottesville,2019,80.93
County,Charlottesville,2020,81.50800000000001
County,Charlottesville,2021,81.80199999999999
County,Charlottesville,2022,85.30499999999999
County,Charlottesville,2023,80.62700000000001
