school_year,division,population,mv_count,total_students,mv_rate
2022-2023,Albemarle,Homeless Students,155,13970,11.095204008589835
2022-2023,Charlottesville,Homeless Students,126,4491,28.0561122244489
2021-2022,Albemarle,Homeless Students,194,13749,14.110117099425413
2021-2022,Charlottesville,Homeless Students,22,4290,5.128205128205129
2020-2021,Albemarle,Homeless Students,126,13532,9.311262193319537
2020-2021,Charlottesville,Homeless Students,23,4258,5.401596993893847
2019-2020,Albemarle,Homeless Students,188,14435,13.023900242466228
2019-2020,Charlottesville,Homeless Students,57,4544,12.544014084507042
2018-2019,Albemarle,Homeless Students,254,14013,18.126025833154927
2018-2019,Charlottesville,Homeless Students,97,4561,21.267265950449463
2010-2011,Albemarle,Homeless Students,282,13221,21.32970274563195
2010-2011,Charlottesville,Homeless Students,62,4030,15.384615384615385
2011-2012,Albemarle,Homeless Students,300,13113,22.878059940517044
2011-2012,Charlottesville,Homeless Students,50,4175,11.976047904191617
2012-2013,Albemarle,Homeless Students,310,13277,23.34864803796038
2012-2013,Charlottesville,Homeless Students,85,4236,20.06610009442871
2014-2015,Albemarle,Homeless Students,213,13689,15.559938636861713
2014-2015,Charlottesville,Homeless Students,105,4356,24.104683195592287
2015-2016,Albemarle,Homeless Students,234,13772,16.99099622422306
2015-2016,Charlottesville,Homeless Students,102,4382,23.27704244637152
2016-2017,Albemarle,Homeless Students,249,13818,18.01997394702562
2016-2017,Charlottesville,Homeless Students,99,4478,22.108083966056274
2017-2018,Albemarle,Homeless Students,249,13937,17.86611178876372
2017-2018,Charlottesville,Homeless Students,82,4529,18.1055420622654
2013-2014,Albemarle,Homeless Students,291,13432,21.66468135795116
2013-2014,Charlottesville,Homeless Students,104,4340,23.963133640552996
2010-2011,Virginia,Homeless Students,16401,1252266,13.097057653885036
2011-2012,Virginia,Homeless Students,17924,1258896,14.237871913168362
2012-2013,Virginia,Homeless Students,17986,1265277,14.21506911134874
2013-2014,Virginia,Homeless Students,18480,1273532,14.510825012642007
2014-2015,Virginia,Homeless Students,18283,1280370,14.279466091832829
2015-2016,Virginia,Homeless Students,18983,1284114,14.782955407385948
2016-2017,Virginia,Homeless Students,21012,1288033,16.31324663265615
2017-2018,Virginia,Homeless Students,20793,1292706,16.084863843751016
2018-2019,Virginia,Homeless Students,20805,1290513,16.121495870246946
2019-2020,Virginia,Homeless Students,17725,1298083,13.654750890351387
2020-2021,Virginia,Homeless Students,13891,1252752,11.088387805407613
2021-2022,Virginia,Homeless Students,16636,1251970,13.287858335263623
2022-2023,Virginia,Homeless Students,19887,1263367,15.74126916406713
