year,geography,maternal_race_and_ethnicity,infant_deaths,total_live_births,infant_mortality_rate
2020,Virginia (All Localities),White,193,50898,3.7919999999999998
2020,Albemarle County,American Indian or Alaskan Native,0,5,0
2020,Albemarle County,"Another Race, Non-Hispanic",0,28,0
2020,Albemarle County,Asian or Pacific Islander,0,42,0
2020,Albemarle County,Black or African American,<5,115,*
2020,Albemarle County,Hispanic or Latinx (All Races),0,94,0
2020,Albemarle County,White,<5,690,*
2020,Charlottesville City,American Indian or Alaskan Native,0,<5,0
2020,Charlottesville City,"Another Race, Non-Hispanic",0,18,0
2020,Charlottesville City,Asian or Pacific Islander,0,39,0
2020,Charlottesville City,Black or African American,0,100,0
2020,Charlottesville City,Hispanic or Latinx (All Races),0,45,0
2020,Charlottesville City,White,<5,353,*
2021,Virginia (All Localities),American Indian or Alaskan Native,14,154,90.909000000000006
2021,Virginia (All Localities),"Another Race, Non-Hispanic",0,2506,0
2021,Virginia (All Localities),Asian or Pacific Islander,41,7349,5.5789999999999997
2021,Virginia (All Localities),Black or African American,213,18984,11.22
2021,Virginia (All Localities),Hispanic or Latinx (All Races),98,15017,6.5259999999999998
2021,Virginia (All Localities),Unknown Race and Ethnicity,<5,547,*
2021,Virginia (All Localities),White,201,51385,3.9119999999999999
2021,Albemarle County,American Indian or Alaskan Native,<5,<5,*
2021,Albemarle County,"Another Race, Non-Hispanic",0,30,0
2021,Albemarle County,Asian or Pacific Islander,0,74,0
2021,Albemarle County,Black or African American,<5,111,*
2021,Albemarle County,Hispanic or Latinx (All Races),<5,101,*
2021,Albemarle County,Unknown Race and Ethnicity,0,<5,0
2021,Albemarle County,White,<5,730,*
2021,Charlottesville City,"Another Race, Non-Hispanic",0,17,0
2021,Charlottesville City,Asian or Pacific Islander,<5,28,*
2021,Charlottesville City,Black or African American,<5,99,*
2021,Charlottesville City,Hispanic or Latinx (All Races),0,63,0
2021,Charlottesville City,Unknown Race and Ethnicity,0,<5,0
2021,Charlottesville City,White,0,370,0
2022,Virginia (All Localities),American Indian or Alaskan Native,19,152,125
2022,Virginia (All Localities),"Another Race, Non-Hispanic",0,2940,0
2022,Virginia (All Localities),Asian or Pacific Islander,32,7699,4.1559999999999997
2022,Virginia (All Localities),Black or African American,244,18406,13.257
2022,Virginia (All Localities),Hispanic or Latinx (All Races),97,15859,6.1159999999999997
2022,Virginia (All Localities),Unknown Race and Ethnicity,6,294,20.408000000000001
2022,Virginia (All Localities),White,197,50274,3.919
2022,Albemarle County,American Indian or Alaskan Native,0,<5,0
2022,Albemarle County,"Another Race, Non-Hispanic",0,42,0
2022,Albemarle County,Asian or Pacific Islander,0,54,0
2022,Albemarle County,Black or African American,<5,109,*
2022,Albemarle County,Hispanic or Latinx (All Races),<5,117,*
2022,Albemarle County,White,<5,737,*
2022,Charlottesville City,"Another Race, Non-Hispanic",0,28,0
2022,Charlottesville City,Asian or Pacific Islander,0,37,0
2022,Charlottesville City,Black or African American,<5,71,*
2022,Charlottesville City,Hispanic or Latinx (All Races),0,56,0
2022,Charlottesville City,White,<5,332,*
2023,Virginia (All Localities),American Indian or Alaskan Native,18,135,133.333
2023,Virginia (All Localities),"Another Race, Non-Hispanic",0,3200,0
2023,Virginia (All Localities),Asian or Pacific Islander,23,7148,3.218
2023,Virginia (All Localities),Black or African American,193,17396,11.095000000000001
2023,Virginia (All Localities),Hispanic or Latinx (All Races),114,16176,7.0469999999999997
2023,Virginia (All Localities),Unknown Race and Ethnicity,9,1829,4.9207217058501911
2023,Virginia (All Localities),White,175,46768,3.742
2023,Albemarle County,American Indian or Alaskan Native,0,<5,0
2023,Albemarle County,"Another Race, Non-Hispanic",0,39,0
2023,Albemarle County,Asian or Pacific Islander,<5,56,*
2023,Albemarle County,Black or African American,0,83,0
2023,Albemarle County,Hispanic or Latinx (All Races),0,134,0
2023,Albemarle County,White,<5,700,*
2023,Charlottesville City,"Another Race, Non-Hispanic",0,28,0
2023,Charlottesville City,Asian or Pacific Islander,0,39,0
2023,Charlottesville City,Black or African American,0,91,0
2023,Charlottesville City,Hispanic or Latinx (All Races),<5,53,*
2023,Charlottesville City,White,<5,331,*
2024,Virginia (All Localities),American Indian or Alaskan Native,22,139,158.27338129496403
2024,Virginia (All Localities),"Another Race, Non-Hispanic",0,3737,0
2024,Virginia (All Localities),Asian or Pacific Islander,28,7545,3.7109999999999999
2024,Virginia (All Localities),Black or African American,210,17173,12.228
2024,Virginia (All Localities),Hispanic or Latinx (All Races),91,17223,5.2839999999999998
2024,Virginia (All Localities),Unknown Race and Ethnicity,5,107,46.728999999999999
2024,Virginia (All Localities),White,204,48092,4.242
2024,Albemarle County,"Another Race, Non-Hispanic",0,32,0
2024,Albemarle County,Asian or Pacific Islander,<5,55,*
2024,Albemarle County,Black or African American,<5,105,*
2024,Albemarle County,Hispanic or Latinx (All Races),0,149,0
2024,Albemarle County,White,<5,702,*
2024,Charlottesville City,"Another Race, Non-Hispanic",0,26,0
2024,Charlottesville City,Asian or Pacific Islander,0,44,0
2024,Charlottesville City,Black or African American,<5,69,*
2024,Charlottesville City,Hispanic or Latinx (All Races),0,69,0
2024,Charlottesville City,White,<5,285,*
