GEOID,NAME,year,child_under6_twoparent_hh,child_6to17_twoparent_hh,total_child_twoparent_hh,total_children,per_child_twoparent_hh
51003,Albemarle County,2010,4922,10896,15818,20687,76.46347947986658
51540,Charlottesville City,2010,1403,2329,3732,5979,62.41846462619167
51540,Charlottesville City,2011,1477,2311,3788,5926,63.92170097873776
51003,Albemarle County,2011,4899,11079,15978,20733,77.0655476776154
51003,Albemarle County,2012,4889,11243,16132,20764,77.69215950683876
51540,Charlottesville City,2012,1619,2262,3881,6164,62.962362102530825
51540,Charlottesville City,2013,1635,2116,3751,6196,60.53905745642349
51003,Albemarle County,2013,4853,11471,16324,20873,78.20629521391271
51540,Charlottesville City,2014,1704,2058,3762,6465,58.19025522041763
51003,Albemarle County,2014,5024,11584,16608,21036,78.95037079292642
51540,Charlottesville City,2015,1780,2104,3884,6582,59.009419629292005
51003,Albemarle County,2015,5002,11419,16421,21042,78.03915977568671
51540,Charlottesville City,2016,1874,2533,4407,6708,65.69767441860465
51003,Albemarle County,2016,5160,11320,16480,21084,78.16353633086702
51540,Charlottesville City,2017,2031,2482,4513,6921,65.2073399797717
51003,Albemarle County,2017,5178,10960,16138,21057,76.63959728356366
51540,Charlottesville City,2018,2040,2541,4581,6962,65.80005745475438
51003,Albemarle County,2018,4916,10800,15716,20987,74.88445227998285
51540,Charlottesville City,2019,1823,2637,4460,6936,64.30219146482122
51003,Albemarle County,2019,4888,10715,15603,21029,74.19753673498502
51540,Charlottesville City,2020,1885,2659,4544,6964,65.2498564043653
51003,Albemarle County,2020,5113,10977,16090,21124,76.16928612005303
51003,Albemarle County,2021,5295,10926,16221,21692,74.77872026553568
51540,Charlottesville City,2021,1971,2307,4278,6979,61.29818025505087
51,Virginia,2010,408782,811242,1220024,1744212,69.94700185527905
51,Virginia,2011,406264,814449,1220713,1755791,69.52496054484844
51,Virginia,2012,404131,817479,1221610,1766737,69.144983095956
51,Virginia,2013,403580,818165,1221745,1774056,68.86733000536623
51,Virginia,2014,403126,819469,1222595,1779991,68.68545964558248
51,Virginia,2015,403895,819384,1223279,1779867,68.7286746706355
51,Virginia,2016,402868,816926,1219794,1776415,68.66604931843065
51,Virginia,2017,406094,818114,1224208,1776682,68.90417080828195
51,Virginia,2018,408060,817507,1225567,1775659,69.02040312920442
51,Virginia,2019,407596,810007,1217603,1771251,68.74254411147828
51,Virginia,2020,408591,815096,1223687,1767533,69.23135239907826
51,Virginia,2021,407133,834315,1241448,1793087,69.23523510013736
51003,Albemarle County,2022,5113,10282,15395,21262,72.40617063305427
51540,Charlottesville City,2022,1785,2247,4032,6864,58.74125874125874
51003,Albemarle County,2023,4997,10948,15945,21602,73.81260994352374
51540,Charlottesville City,2023,1822,2322,4144,7145,57.99860041987404
51003,Albemarle County,2024,4973,10712,15685,21531,72.84845107054943
51540,Charlottesville City,2024,1831,2699,4530,7190,63.00417246175244
51,Virginia,2022,398649,826567,1225216,1777076,68.94561628202733
51,Virginia,2023,400075,833256,1233331,1795086,68.70595614917615
51,Virginia,2024,398662,833321,1231983,1792785,68.7189484517106
