report_area,year,rate_teen_pregnancy_per_1000
Albemarle County,2015,8.05
Albemarle County,2016,6.3
Albemarle County,2017,5.49
Albemarle County,2018,6.29
Albemarle County,2019,6.06
Albemarle County,2020,7.45
Albemarle County,2021,8.53
Albemarle County,2022,6.9
Albemarle County,2023,7.92
Charlottesville City,2015,19.51
Charlottesville City,2016,27.85
Charlottesville City,2017,16.41
Charlottesville City,2018,14.03
Charlottesville City,2019,13.03
Charlottesville City,2020,12.08
Charlottesville City,2021,21.89
Charlottesville City,2022,12.2
Charlottesville City,2023,15.94
Virginia,2015,23.25
Virginia,2016,20.95
Virginia,2017,19.76
Virginia,2018,19.17
Virginia,2019,18.07
Virginia,2020,16.8
Virginia,2021,15.3
Virginia,2022,15.13
Virginia,2023,15.15
