School Year,NCES LEA ID,LEA,Data Description,Value,Population,Subgroup
2021-2022,5100060,ACCOMACK CO PBLC SCHS,Homeless Students Enrolled,172,Homeless Students,All Students in LEA
2021-2022,5100090,ALBEMARLE CO PBLC SCHS,Homeless Students Enrolled,194,Homeless Students,All Students in LEA
2021-2022,5100120,ALEXANDRIA CITY PBLC SCHS,Homeless Students Enrolled,192,Homeless Students,All Students in LEA
2021-2022,5100152,ALLEGHANY CO PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students in LEA
2021-2022,5100180,AMELIA CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students in LEA
2021-2022,5100210,AMHERST CO PBLC SCHS,Homeless Students Enrolled,71,Homeless Students,All Students in LEA
2021-2022,5100240,APPOMATTOX CO PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students in LEA
2021-2022,5100270,ARLINGTON CO PBLC SCHS,Homeless Students Enrolled,181,Homeless Students,All Students in LEA
2021-2022,5100300,AUGUSTA CO PBLC SCHS,Homeless Students Enrolled,89,Homeless Students,All Students in LEA
2021-2022,5100360,BEDFORD CO PBLC SCHS,Homeless Students Enrolled,65,Homeless Students,All Students in LEA
2021-2022,5100390,BLAND CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students in LEA
2021-2022,5100420,BOTETOURT CO PBLC SCHS,Homeless Students Enrolled,28,Homeless Students,All Students in LEA
2021-2022,5100450,BRISTOL CITY PBLC SCHS,Homeless Students Enrolled,108,Homeless Students,All Students in LEA
2021-2022,5100480,BRUNSWICK CO PBLC SCHS,Homeless Students Enrolled,7,Homeless Students,All Students in LEA
2021-2022,5100510,BUCHANAN CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2021-2022,5100540,BUCKINGHAM CO PBLC SCHS,Homeless Students Enrolled,42,Homeless Students,All Students in LEA
2021-2022,5100560,BUENA VISTA CITY PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students in LEA
2021-2022,5100600,CAMPBELL CO PBLC SCHS,Homeless Students Enrolled,35,Homeless Students,All Students in LEA
2021-2022,5100660,CAROLINE CO PBLC SCHS,Homeless Students Enrolled,42,Homeless Students,All Students in LEA
2021-2022,5100690,CARROLL CO PBLC SCHS,Homeless Students Enrolled,25,Homeless Students,All Students in LEA
2021-2022,5100720,CHARLES CITY CO PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students in LEA
2021-2022,5100750,CHARLOTTE CO PBLC SCHS,Homeless Students Enrolled,18,Homeless Students,All Students in LEA
2021-2022,5100780,CHARLOTTESVILLE CTY PBLC SCHS,Homeless Students Enrolled,22,Homeless Students,All Students in LEA
2021-2022,5100810,CHESAPEAKE CITY PBLC SCHS,Homeless Students Enrolled,203,Homeless Students,All Students in LEA
2021-2022,5100840,CHESTERFIELD CO PBLC SCHS,Homeless Students Enrolled,710,Homeless Students,All Students in LEA
2021-2022,5100870,CLARKE CO PBLC SCHS,Homeless Students Enrolled,21,Homeless Students,All Students in LEA
2021-2022,5100930,COLONIAL BEACH PBLC SCHS,Homeless Students Enrolled,40,Homeless Students,All Students in LEA
2021-2022,5100960,COLONIAL HEIGHTS CITY PBLC SCHS,Homeless Students Enrolled,37,Homeless Students,All Students in LEA
2021-2022,5100990,COVINGTON CITY PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students in LEA
2021-2022,5101020,CRAIG CO PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students in LEA
2021-2022,5101050,CULPEPER CO PBLC SCHS,Homeless Students Enrolled,65,Homeless Students,All Students in LEA
2021-2022,5101080,CUMBERLAND CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2021-2022,5101110,DANVILLE CITY PBLC SCHS,Homeless Students Enrolled,104,Homeless Students,All Students in LEA
2021-2022,5101140,DICKENSON CO PBLC SCHS,Homeless Students Enrolled,7,Homeless Students,All Students in LEA
2021-2022,5101170,DINWIDDIE CO PBLC SCHS,Homeless Students Enrolled,27,Homeless Students,All Students in LEA
2021-2022,5101200,ESSEX CO PBLC SCHS,Homeless Students Enrolled,23,Homeless Students,All Students in LEA
2021-2022,5101260,FAIRFAX CO PBLC SCHS,Homeless Students Enrolled,2095,Homeless Students,All Students in LEA
2021-2022,5101290,FALLS CHURCH CITY PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students in LEA
2021-2022,5101320,FAUQUIER CO PBLC SCHS,Homeless Students Enrolled,135,Homeless Students,All Students in LEA
2021-2022,5101350,FLOYD CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students in LEA
2021-2022,5101380,FLUVANNA CO PBLC SCHS,Homeless Students Enrolled,63,Homeless Students,All Students in LEA
2021-2022,5101410,FRANKLIN CITY PBLC SCHS,Homeless Students Enrolled,26,Homeless Students,All Students in LEA
2021-2022,5101440,FRANKLIN CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students in LEA
2021-2022,5101470,FREDERICK CO PBLC SCHS,Homeless Students Enrolled,273,Homeless Students,All Students in LEA
2021-2022,5101510,FREDERICKSBURG CITY PBLC SCHS,Homeless Students Enrolled,144,Homeless Students,All Students in LEA
2021-2022,5101560,GALAX CITY PBLC SCHS,Homeless Students Enrolled,21,Homeless Students,All Students in LEA
2021-2022,5101590,GILES CO PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students in LEA
2021-2022,5101620,GLOUCESTER CO PBLC SCHS,Homeless Students Enrolled,28,Homeless Students,All Students in LEA
2021-2022,5101650,GOOCHLAND CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students in LEA
2021-2022,5101690,GRAYSON CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students in LEA
2021-2022,5101710,GREENE CO PBLC SCHS,Homeless Students Enrolled,37,Homeless Students,All Students in LEA
2021-2022,5101740,GREENSVILLE CO PBLC SCHS,Homeless Students Enrolled,29,Homeless Students,All Students in LEA
2021-2022,5101770,HALIFAX CO PBLC SCHS,Homeless Students Enrolled,56,Homeless Students,All Students in LEA
2021-2022,5101800,HAMPTON CITY PBLC SCHS,Homeless Students Enrolled,272,Homeless Students,All Students in LEA
2021-2022,5101830,HANOVER CO PBLC SCHS,Homeless Students Enrolled,45,Homeless Students,All Students in LEA
2021-2022,5101860,HARRISONBURG CITY PBLC SCHS,Homeless Students Enrolled,95,Homeless Students,All Students in LEA
2021-2022,5101890,HENRICO CO PBLC SCHS,Homeless Students Enrolled,758,Homeless Students,All Students in LEA
2021-2022,5101920,HENRY CO PBLC SCHS,Homeless Students Enrolled,84,Homeless Students,All Students in LEA
2021-2022,5101980,HOPEWELL CITY PBLC SCHS,Homeless Students Enrolled,51,Homeless Students,All Students in LEA
2021-2022,5102010,ISLE OF WIGHT CO PBLC SCHS,Homeless Students Enrolled,34,Homeless Students,All Students in LEA
2021-2022,5102070,KING AND QUEEN CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students in LEA
2021-2022,5102100,KING GEO CO PBLC SCHS,Homeless Students Enrolled,40,Homeless Students,All Students in LEA
2021-2022,5102120,KING WILLIAM CO PBLC SCHS,Homeless Students Enrolled,19,Homeless Students,All Students in LEA
2021-2022,5102160,LANCASTER CO PBLC SCHS,Homeless Students Enrolled,28,Homeless Students,All Students in LEA
2021-2022,5102190,LEE CO PBLC SCHS,Homeless Students Enrolled,25,Homeless Students,All Students in LEA
2021-2022,5102220,LEXINGTON CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2021-2022,5102250,LOUDOUN CO PBLC SCHS,Homeless Students Enrolled,1921,Homeless Students,All Students in LEA
2021-2022,5102280,LOUISA CO PBLC SCHS,Homeless Students Enrolled,38,Homeless Students,All Students in LEA
2021-2022,5102310,LUNENBURG CO PBLC SCHS,Homeless Students Enrolled,38,Homeless Students,All Students in LEA
2021-2022,5102340,LYNCHBURG CITY PBLC SCHS,Homeless Students Enrolled,125,Homeless Students,All Students in LEA
2021-2022,5102360,MANASSAS CITY PBLC SCHS,Homeless Students Enrolled,77,Homeless Students,All Students in LEA
2021-2022,5102370,MADISON CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students in LEA
2021-2022,5102390,MANASSAS PARK CITY PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students in LEA
2021-2022,5102400,MARTINSVILLE CITY PBLC SCHS,Homeless Students Enrolled,24,Homeless Students,All Students in LEA
2021-2022,5102430,MATHEWS CO PBLC SCHS,Homeless Students Enrolled,30,Homeless Students,All Students in LEA
2021-2022,5102460,MECKLENBURG CO PBLC SCHS,Homeless Students Enrolled,37,Homeless Students,All Students in LEA
2021-2022,5102490,MIDDLESEX CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students in LEA
2021-2022,5102520,MONTGOMERY CO PBLC SCHS,Homeless Students Enrolled,100,Homeless Students,All Students in LEA
2021-2022,5102580,NELSON CO PBLC SCHS,Homeless Students Enrolled,24,Homeless Students,All Students in LEA
2021-2022,5102610,NEW KENT CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students in LEA
2021-2022,5102640,NEWPORT NEWS CITY PBLC SCHS,Homeless Students Enrolled,610,Homeless Students,All Students in LEA
2021-2022,5102670,NORFOLK CITY PBLC SCHS,Homeless Students Enrolled,612,Homeless Students,All Students in LEA
2021-2022,5102710,NORTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,157,Homeless Students,All Students in LEA
2021-2022,5102730,NORTHUMBERLAND CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students in LEA
2021-2022,5102760,NORTON CITY PBLC SCHS,Homeless Students Enrolled,21,Homeless Students,All Students in LEA
2021-2022,5102790,NOTTOWAY CO PBLC SCHS,Homeless Students Enrolled,35,Homeless Students,All Students in LEA
2021-2022,5102820,ORANGE CO PBLC SCHS,Homeless Students Enrolled,62,Homeless Students,All Students in LEA
2021-2022,5102850,PAGE CO PBLC SCHS,Homeless Students Enrolled,41,Homeless Students,All Students in LEA
2021-2022,5102880,PATRICK CO PBLC SCHS,Homeless Students Enrolled,89,Homeless Students,All Students in LEA
2021-2022,5102910,PETERSBURG CITY PBLC SCHS,Homeless Students Enrolled,56,Homeless Students,All Students in LEA
2021-2022,5102940,PITTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,24,Homeless Students,All Students in LEA
2021-2022,5102980,POQUOSON CITY PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students in LEA
2021-2022,5103000,PORTSMOUTH CITY PBLC SCHS,Homeless Students Enrolled,284,Homeless Students,All Students in LEA
2021-2022,5103030,POWHATAN CO PBLC SCHS,Homeless Students Enrolled,33,Homeless Students,All Students in LEA
2021-2022,5103060,PRINCE EDWARD CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students in LEA
2021-2022,5103090,PRINCE GEORGE CO PBLC SCHS,Homeless Students Enrolled,78,Homeless Students,All Students in LEA
2021-2022,5103130,PRINCE WILLIAM CO PBLC SCHS,Homeless Students Enrolled,809,Homeless Students,All Students in LEA
2021-2022,5103150,PULASKI CO PBLC SCHS,Homeless Students Enrolled,54,Homeless Students,All Students in LEA
2021-2022,5103180,RADFORD CITY PBLC SCHS,Homeless Students Enrolled,28,Homeless Students,All Students in LEA
2021-2022,5103210,RAPPAHANNOCK CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students in LEA
2021-2022,5103240,RICHMOND CITY PBLC SCHS,Homeless Students Enrolled,654,Homeless Students,All Students in LEA
