School Year,NCES LEA ID,LEA,Data Description,Value,Population,Subgroup
2021-2022,5103270,RICHMOND CO PBLC SCHS,Homeless Students Enrolled,17,Homeless Students,All Students in LEA
2021-2022,5103300,ROANOKE CITY PBLC SCHS,Homeless Students Enrolled,590,Homeless Students,All Students in LEA
2021-2022,5103330,ROANOKE CO PBLC SCHS,Homeless Students Enrolled,53,Homeless Students,All Students in LEA
2021-2022,5103370,ROCKBRIDGE CO PBLC SCHS,Homeless Students Enrolled,18,Homeless Students,All Students in LEA
2021-2022,5103390,ROCKINGHAM CO PBLC SCHS,Homeless Students Enrolled,66,Homeless Students,All Students in LEA
2021-2022,5103420,RUSSELL CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students in LEA
2021-2022,5103460,SALEM CITY PBLC SCHS,Homeless Students Enrolled,20,Homeless Students,All Students in LEA
2021-2022,5103480,SCOTT CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students in LEA
2021-2022,5103510,SHENANDOAH CO PBLC SCHS,Homeless Students Enrolled,38,Homeless Students,All Students in LEA
2021-2022,5103520,SMYTH CO PBLC SCHS,Homeless Students Enrolled,25,Homeless Students,All Students in LEA
2021-2022,5103600,SOUTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,44,Homeless Students,All Students in LEA
2021-2022,5103640,SPOTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,505,Homeless Students,All Students in LEA
2021-2022,5103660,STAFFORD CO PBLC SCHS,Homeless Students Enrolled,243,Homeless Students,All Students in LEA
2021-2022,5103690,STAUNTON CITY PBLC SCHS,Homeless Students Enrolled,62,Homeless Students,All Students in LEA
2021-2022,5103710,SUFFOLK CITY PBLC SCHS,Homeless Students Enrolled,97,Homeless Students,All Students in LEA
2021-2022,5103750,SURRY CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students in LEA
2021-2022,5103780,SUSSEX CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students in LEA
2021-2022,5103810,TAZEWELL CO PBLC SCHS,Homeless Students Enrolled,27,Homeless Students,All Students in LEA
2021-2022,5103840,VA BEACH CITY PBLC SCHS,Homeless Students Enrolled,688,Homeless Students,All Students in LEA
2021-2022,5103870,WARREN CO PBLC SCHS,Homeless Students Enrolled,87,Homeless Students,All Students in LEA
2021-2022,5103900,WASHINGTON CO PBLC SCHS,Homeless Students Enrolled,68,Homeless Students,All Students in LEA
2021-2022,5103930,WAYNESBORO CITY PBLC SCHS,Homeless Students Enrolled,51,Homeless Students,All Students in LEA
2021-2022,5103950,WEST POINT PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2021-2022,5103980,WESTMORELAND CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2021-2022,5104020,WILLIAMSBURG-JAMES CITY PBLC SCHS,Homeless Students Enrolled,221,Homeless Students,All Students in LEA
2021-2022,5104050,WINCHESTER CITY PBLC SCHS,Homeless Students Enrolled,97,Homeless Students,All Students in LEA
2021-2022,5104080,WISE CO PBLC SCHS,Homeless Students Enrolled,206,Homeless Students,All Students in LEA
2021-2022,5104110,WYTHE CO PBLC SCHS,Homeless Students Enrolled,36,Homeless Students,All Students in LEA
2021-2022,5104150,YORK CO PBLC SCHS,Homeless Students Enrolled,198,Homeless Students,All Students in LEA
2020-2021,5100060,ACCOMACK CO PBLC SCHS,Homeless Students Enrolled,240,Homeless Students,All Students in LEA
2020-2021,5100090,ALBEMARLE CO PBLC SCHS,Homeless Students Enrolled,126,Homeless Students,All Students in LEA
2020-2021,5100120,ALEXANDRIA CITY PBLC SCHS,Homeless Students Enrolled,111,Homeless Students,All Students in LEA
2020-2021,5100152,ALLEGHANY CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students in LEA
2020-2021,5100180,AMELIA CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students in LEA
2020-2021,5100210,AMHERST CO PBLC SCHS,Homeless Students Enrolled,62,Homeless Students,All Students in LEA
2020-2021,5100240,APPOMATTOX CO PBLC SCHS,Homeless Students Enrolled,15,Homeless Students,All Students in LEA
2020-2021,5100270,ARLINGTON CO PBLC SCHS,Homeless Students Enrolled,161,Homeless Students,All Students in LEA
2020-2021,5100300,AUGUSTA CO PBLC SCHS,Homeless Students Enrolled,54,Homeless Students,All Students in LEA
2020-2021,5100360,BEDFORD CO PBLC SCHS,Homeless Students Enrolled,78,Homeless Students,All Students in LEA
2020-2021,5100390,BLAND CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students in LEA
2020-2021,5100420,BOTETOURT CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students in LEA
2020-2021,5100450,BRISTOL CITY PBLC SCHS,Homeless Students Enrolled,91,Homeless Students,All Students in LEA
2020-2021,5100480,BRUNSWICK CO PBLC SCHS,Homeless Students Enrolled,7,Homeless Students,All Students in LEA
2020-2021,5100540,BUCKINGHAM CO PBLC SCHS,Homeless Students Enrolled,46,Homeless Students,All Students in LEA
2020-2021,5100560,BUENA VISTA CITY PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students in LEA
2020-2021,5100600,CAMPBELL CO PBLC SCHS,Homeless Students Enrolled,24,Homeless Students,All Students in LEA
2020-2021,5100660,CAROLINE CO PBLC SCHS,Homeless Students Enrolled,34,Homeless Students,All Students in LEA
2020-2021,5100690,CARROLL CO PBLC SCHS,Homeless Students Enrolled,27,Homeless Students,All Students in LEA
2020-2021,5100720,CHARLES CITY CO PBLC SCHS,Homeless Students Enrolled,13,Homeless Students,All Students in LEA
2020-2021,5100750,CHARLOTTE CO PBLC SCHS,Homeless Students Enrolled,13,Homeless Students,All Students in LEA
2020-2021,5100780,CHARLOTTESVILLE CTY PBLC SCHS,Homeless Students Enrolled,23,Homeless Students,All Students in LEA
2020-2021,5100810,CHESAPEAKE CITY PBLC SCHS,Homeless Students Enrolled,139,Homeless Students,All Students in LEA
2020-2021,5100840,CHESTERFIELD CO PBLC SCHS,Homeless Students Enrolled,491,Homeless Students,All Students in LEA
2020-2021,5100870,CLARKE CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students in LEA
2020-2021,5100930,COLONIAL BEACH PBLC SCHS,Homeless Students Enrolled,35,Homeless Students,All Students in LEA
2020-2021,5100960,COLONIAL HEIGHTS CITY PBLC SCHS,Homeless Students Enrolled,42,Homeless Students,All Students in LEA
2020-2021,5100990,COVINGTON CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2020-2021,5101020,CRAIG CO PBLC SCHS,Homeless Students Enrolled,10,Homeless Students,All Students in LEA
2020-2021,5101050,CULPEPER CO PBLC SCHS,Homeless Students Enrolled,80,Homeless Students,All Students in LEA
2020-2021,5101080,CUMBERLAND CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2020-2021,5101110,DANVILLE CITY PBLC SCHS,Homeless Students Enrolled,70,Homeless Students,All Students in LEA
2020-2021,5101140,DICKENSON CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2020-2021,5101170,DINWIDDIE CO PBLC SCHS,Homeless Students Enrolled,17,Homeless Students,All Students in LEA
2020-2021,5101200,ESSEX CO PBLC SCHS,Homeless Students Enrolled,23,Homeless Students,All Students in LEA
2020-2021,5101260,FAIRFAX CO PBLC SCHS,Homeless Students Enrolled,1186,Homeless Students,All Students in LEA
2020-2021,5101290,FALLS CHURCH CITY PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students in LEA
2020-2021,5101320,FAUQUIER CO PBLC SCHS,Homeless Students Enrolled,191,Homeless Students,All Students in LEA
2020-2021,5101350,FLOYD CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students in LEA
2020-2021,5101380,FLUVANNA CO PBLC SCHS,Homeless Students Enrolled,68,Homeless Students,All Students in LEA
2020-2021,5101410,FRANKLIN CITY PBLC SCHS,Homeless Students Enrolled,30,Homeless Students,All Students in LEA
2020-2021,5101440,FRANKLIN CO PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students in LEA
2020-2021,5101470,FREDERICK CO PBLC SCHS,Homeless Students Enrolled,291,Homeless Students,All Students in LEA
2020-2021,5101510,FREDERICKSBURG CITY PBLC SCHS,Homeless Students Enrolled,102,Homeless Students,All Students in LEA
2020-2021,5101560,GALAX CITY PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students in LEA
2020-2021,5101590,GILES CO PBLC SCHS,Homeless Students Enrolled,34,Homeless Students,All Students in LEA
2020-2021,5101620,GLOUCESTER CO PBLC SCHS,Homeless Students Enrolled,27,Homeless Students,All Students in LEA
2020-2021,5101650,GOOCHLAND CO PBLC SCHS,Homeless Students Enrolled,10,Homeless Students,All Students in LEA
2020-2021,5101690,GRAYSON CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2020-2021,5101710,GREENE CO PBLC SCHS,Homeless Students Enrolled,27,Homeless Students,All Students in LEA
2020-2021,5101740,GREENSVILLE CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students in LEA
2020-2021,5101770,HALIFAX CO PBLC SCHS,Homeless Students Enrolled,33,Homeless Students,All Students in LEA
2020-2021,5101800,HAMPTON CITY PBLC SCHS,Homeless Students Enrolled,323,Homeless Students,All Students in LEA
2020-2021,5101830,HANOVER CO PBLC SCHS,Homeless Students Enrolled,56,Homeless Students,All Students in LEA
2020-2021,5101860,HARRISONBURG CITY PBLC SCHS,Homeless Students Enrolled,45,Homeless Students,All Students in LEA
2020-2021,5101890,HENRICO CO PBLC SCHS,Homeless Students Enrolled,551,Homeless Students,All Students in LEA
2020-2021,5101920,HENRY CO PBLC SCHS,Homeless Students Enrolled,60,Homeless Students,All Students in LEA
2020-2021,5101980,HOPEWELL CITY PBLC SCHS,Homeless Students Enrolled,41,Homeless Students,All Students in LEA
2020-2021,5102010,ISLE OF WIGHT CO PBLC SCHS,Homeless Students Enrolled,22,Homeless Students,All Students in LEA
2020-2021,5102070,KING AND QUEEN CO PBLC SCHS,Homeless Students Enrolled,7,Homeless Students,All Students in LEA
2020-2021,5102100,KING GEO CO PBLC SCHS,Homeless Students Enrolled,66,Homeless Students,All Students in LEA
2020-2021,5102120,KING WILLIAM CO PBLC SCHS,Homeless Students Enrolled,24,Homeless Students,All Students in LEA
2020-2021,5102160,LANCASTER CO PBLC SCHS,Homeless Students Enrolled,26,Homeless Students,All Students in LEA
2020-2021,5102190,LEE CO PBLC SCHS,Homeless Students Enrolled,22,Homeless Students,All Students in LEA
2020-2021,5102220,LEXINGTON CITY PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students in LEA
2020-2021,5102250,LOUDOUN CO PBLC SCHS,Homeless Students Enrolled,1882,Homeless Students,All Students in LEA
2020-2021,5102280,LOUISA CO PBLC SCHS,Homeless Students Enrolled,25,Homeless Students,All Students in LEA
2020-2021,5102310,LUNENBURG CO PBLC SCHS,Homeless Students Enrolled,47,Homeless Students,All Students in LEA
2020-2021,5102340,LYNCHBURG CITY PBLC SCHS,Homeless Students Enrolled,130,Homeless Students,All Students in LEA
2020-2021,5102360,MANASSAS CITY PBLC SCHS,Homeless Students Enrolled,42,Homeless Students,All Students in LEA
2020-2021,5102370,MADISON CO PBLC SCHS,Homeless Students Enrolled,15,Homeless Students,All Students in LEA
2020-2021,5102390,MANASSAS PARK CITY PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students in LEA
2020-2021,5102400,MARTINSVILLE CITY PBLC SCHS,Homeless Students Enrolled,33,Homeless Students,All Students in LEA
2020-2021,5102430,MATHEWS CO PBLC SCHS,Homeless Students Enrolled,18,Homeless Students,All Students in LEA
2020-2021,5102460,MECKLENBURG CO PBLC SCHS,Homeless Students Enrolled,19,Homeless Students,All Students in LEA
2020-2021,5102490,MIDDLESEX CO PBLC SCHS,Homeless Students Enrolled,15,Homeless Students,All Students in LEA
2020-2021,5102520,MONTGOMERY CO PBLC SCHS,Homeless Students Enrolled,90,Homeless Students,All Students in LEA
2020-2021,5102580,NELSON CO PBLC SCHS,Homeless Students Enrolled,30,Homeless Students,All Students in LEA
2020-2021,5102610,NEW KENT CO PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students in LEA
2020-2021,5102640,NEWPORT NEWS CITY PBLC SCHS,Homeless Students Enrolled,321,Homeless Students,All Students in LEA
2020-2021,5102670,NORFOLK CITY PBLC SCHS,Homeless Students Enrolled,512,Homeless Students,All Students in LEA
2020-2021,5102710,NORTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,127,Homeless Students,All Students in LEA
2020-2021,5102730,NORTHUMBERLAND CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students in LEA
2020-2021,5102760,NORTON CITY PBLC SCHS,Homeless Students Enrolled,18,Homeless Students,All Students in LEA
2020-2021,5102790,NOTTOWAY CO PBLC SCHS,Homeless Students Enrolled,28,Homeless Students,All Students in LEA
2020-2021,5102820,ORANGE CO PBLC SCHS,Homeless Students Enrolled,44,Homeless Students,All Students in LEA
2020-2021,5102850,PAGE CO PBLC SCHS,Homeless Students Enrolled,60,Homeless Students,All Students in LEA
2020-2021,5102880,PATRICK CO PBLC SCHS,Homeless Students Enrolled,47,Homeless Students,All Students in LEA
2020-2021,5102910,PETERSBURG CITY PBLC SCHS,Homeless Students Enrolled,402,Homeless Students,All Students in LEA
2020-2021,5102940,PITTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,7,Homeless Students,All Students in LEA
2020-2021,5102980,POQUOSON CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2020-2021,5103000,PORTSMOUTH CITY PBLC SCHS,Homeless Students Enrolled,200,Homeless Students,All Students in LEA
2020-2021,5103030,POWHATAN CO PBLC SCHS,Homeless Students Enrolled,23,Homeless Students,All Students in LEA
2020-2021,5103060,PRINCE EDWARD CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students in LEA
2020-2021,5103090,PRINCE GEORGE CO PBLC SCHS,Homeless Students Enrolled,46,Homeless Students,All Students in LEA
2020-2021,5103130,PRINCE WILLIAM CO PBLC SCHS,Homeless Students Enrolled,450,Homeless Students,All Students in LEA
2020-2021,5103150,PULASKI CO PBLC SCHS,Homeless Students Enrolled,45,Homeless Students,All Students in LEA
2020-2021,5103180,RADFORD CITY PBLC SCHS,Homeless Students Enrolled,25,Homeless Students,All Students in LEA
2020-2021,5103210,RAPPAHANNOCK CO PBLC SCHS,Homeless Students Enrolled,10,Homeless Students,All Students in LEA
2020-2021,5103240,RICHMOND CITY PBLC SCHS,Homeless Students Enrolled,543,Homeless Students,All Students in LEA
2020-2021,5103270,RICHMOND CO PBLC SCHS,Homeless Students Enrolled,21,Homeless Students,All Students in LEA
2020-2021,5103300,ROANOKE CITY PBLC SCHS,Homeless Students Enrolled,519,Homeless Students,All Students in LEA
2020-2021,5103330,ROANOKE CO PBLC SCHS,Homeless Students Enrolled,59,Homeless Students,All Students in LEA
2020-2021,5103370,ROCKBRIDGE CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students in LEA
2020-2021,5103390,ROCKINGHAM CO PBLC SCHS,Homeless Students Enrolled,35,Homeless Students,All Students in LEA
2020-2021,5103420,RUSSELL CO PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students in LEA
2020-2021,5103460,SALEM CITY PBLC SCHS,Homeless Students Enrolled,23,Homeless Students,All Students in LEA
2020-2021,5103480,SCOTT CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students in LEA
2020-2021,5103510,SHENANDOAH CO PBLC SCHS,Homeless Students Enrolled,52,Homeless Students,All Students in LEA
2020-2021,5103520,SMYTH CO PBLC SCHS,Homeless Students Enrolled,18,Homeless Students,All Students in LEA
2020-2021,5103600,SOUTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,27,Homeless Students,All Students in LEA
2020-2021,5103640,SPOTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,431,Homeless Students,All Students in LEA
2020-2021,5103660,STAFFORD CO PBLC SCHS,Homeless Students Enrolled,171,Homeless Students,All Students in LEA
