year,geography,maternal_race_and_ethnicity,low_birth_weight_births,total_live_births,percentage_with_low_birth_weight
2020,Charlottesville City,"Another Race, Non-Hispanic",0,18,0
2020,Charlottesville City,Asian or Pacific Islander,0,39,0
2020,Charlottesville City,Black or African American,15,100,15
2020,Charlottesville City,Hispanic or Latinx (All Races),<5,45,*
2020,Charlottesville City,White,23,353,6.516
2021,Virginia (All Localities),American Indian or Alaskan Native,11,154,7.1429
2021,Virginia (All Localities),"Another Race, Non-Hispanic",204,2506,8.1404999999999994
2021,Virginia (All Localities),Asian or Pacific Islander,589,7349,8.0146999999999995
2021,Virginia (All Localities),Black or African American,2604,18984,13.716799999999999
2021,Virginia (All Localities),Hispanic or Latinx (All Races),1138,15017,7.5781000000000001
2021,Virginia (All Localities),Unknown Race and Ethnicity,68,547,12.4314
2021,Virginia (All Localities),White,3408,51385,6.6322999999999999
2021,Albemarle County,American Indian or Alaskan Native,<5,<5,*
2021,Albemarle County,"Another Race, Non-Hispanic",0,30,0
2021,Albemarle County,Asian or Pacific Islander,6,74,8.1080000000000005
2021,Albemarle County,Black or African American,14,111,12.613
2021,Albemarle County,Hispanic or Latinx (All Races),7,101,6.931
2021,Albemarle County,Unknown Race and Ethnicity,0,<5,0
2021,Albemarle County,White,38,730,5.2050000000000001
2021,Charlottesville City,"Another Race, Non-Hispanic",0,17,0
2021,Charlottesville City,Asian or Pacific Islander,<5,28,*
2021,Charlottesville City,Black or African American,10,99,10.101000000000001
2021,Charlottesville City,Hispanic or Latinx (All Races),6,63,9.5239999999999991
2021,Charlottesville City,Unknown Race and Ethnicity,0,<5,0
2021,Charlottesville City,White,21,370,5.6760000000000002
2022,Virginia (All Localities),American Indian or Alaskan Native,11,152,7.2367999999999997
2022,Virginia (All Localities),"Another Race, Non-Hispanic",231,2940,7.8571
2022,Virginia (All Localities),Asian or Pacific Islander,689,7699,8.9491999999999994
2022,Virginia (All Localities),Black or African American,2614,18406,14.2019
2022,Virginia (All Localities),Hispanic or Latinx (All Races),1174,15859,7.4027000000000003
2022,Virginia (All Localities),Unknown Race and Ethnicity,32,294,10.884399999999999
2022,Virginia (All Localities),White,3343,50274,6.6496000000000004
2022,Albemarle County,American Indian or Alaskan Native,0,<5,0
2022,Albemarle County,"Another Race, Non-Hispanic",5,42,11.904999999999999
2022,Albemarle County,Asian or Pacific Islander,<5,54,*
2022,Albemarle County,Black or African American,12,109,11.009
2022,Albemarle County,Hispanic or Latinx (All Races),7,117,5.9829999999999997
2022,Albemarle County,White,28,737,3.7989999999999999
2022,Charlottesville City,"Another Race, Non-Hispanic",<5,28,*
2022,Charlottesville City,Asian or Pacific Islander,<5,37,*
2022,Charlottesville City,Black or African American,11,71,15.493
2022,Charlottesville City,Hispanic or Latinx (All Races),<5,56,*
2022,Charlottesville City,White,19,332,5.7229999999999999
2023,Virginia (All Localities),American Indian or Alaskan Native,15,135,11.1111
2023,Virginia (All Localities),"Another Race, Non-Hispanic",285,3200,8.9062999999999999
2023,Virginia (All Localities),Asian or Pacific Islander,651,7148,9.1074000000000002
2023,Virginia (All Localities),Black or African American,2489,17396,14.3079
2023,Virginia (All Localities),Hispanic or Latinx (All Races),1156,16176,7.1463999999999999
2023,Virginia (All Localities),Unknown Race and Ethnicity,194,1829,10.6069
2023,Virginia (All Localities),White,3043,46768,6.5065999999999997
2023,Albemarle County,American Indian or Alaskan Native,0,<5,0
2023,Albemarle County,"Another Race, Non-Hispanic",5,39,12.821
2023,Albemarle County,Asian or Pacific Islander,<5,56,*
2023,Albemarle County,Black or African American,6,83,7.2290000000000001
2023,Albemarle County,Hispanic or Latinx (All Races),9,134,6.7160000000000002
2023,Albemarle County,White,32,700,4.5709999999999997
2023,Charlottesville City,"Another Race, Non-Hispanic",5,28,17.856999999999999
2023,Charlottesville City,Asian or Pacific Islander,<5,39,*
2023,Charlottesville City,Black or African American,22,91,24.175999999999998
2023,Charlottesville City,Hispanic or Latinx (All Races),<5,53,*
2023,Charlottesville City,White,27,331,8.157
2024,Virginia (All Localities),American Indian or Alaskan Native,13,139,9.3524999999999991
2024,Virginia (All Localities),"Another Race, Non-Hispanic",326,3737,8.7235999999999994
2024,Virginia (All Localities),Asian or Pacific Islander,676,7545,8.9596
2024,Virginia (All Localities),Black or African American,2484,17173,14.464600000000001
2024,Virginia (All Localities),Hispanic or Latinx (All Races),1313,17223,7.6234999999999999
2024,Virginia (All Localities),Unknown Race and Ethnicity,13,107,12.1495
2024,Virginia (All Localities),White,3146,48092,6.5415999999999999
2024,Albemarle County,"Another Race, Non-Hispanic",5,32,15.625
2024,Albemarle County,Asian or Pacific Islander,<5,55,*
2024,Albemarle County,Black or African American,18,105,17.143000000000001
2024,Albemarle County,Hispanic or Latinx (All Races),11,149,7.383
2024,Albemarle County,White,44,702,6.2679999999999998
2024,Charlottesville City,"Another Race, Non-Hispanic",<5,26,*
2024,Charlottesville City,Asian or Pacific Islander,<5,44,*
2024,Charlottesville City,Black or African American,5,69,7.2460000000000004
2024,Charlottesville City,Hispanic or Latinx (All Races),6,69,8.6959999999999997
2024,Charlottesville City,White,21,285,7.3680000000000003
