year,geography,maternal_race_and_ethnicity,low_birth_weight_births,total_live_births,percentage_with_low_birth_weight
2014,Virginia (All Localities),American Indian or Alaskan Native,22,167,13.1737
2014,Virginia (All Localities),"Another Race, Non-Hispanic",143,1965,7.2774000000000001
2014,Virginia (All Localities),Asian or Pacific Islander,633,7754,8.1635000000000009
2014,Virginia (All Localities),Black or African American,2572,20672,12.442
2014,Virginia (All Localities),Hispanic or Latinx (All Races),889,13460,6.6048
2014,Virginia (All Localities),Unknown Race and Ethnicity,207,1674,12.365600000000001
2014,Virginia (All Localities),White,3583,56770,6.3113999999999999
2014,Albemarle County,American Indian or Alaskan Native,<5,<5,*
2014,Albemarle County,"Another Race, Non-Hispanic",<5,17,*
2014,Albemarle County,Asian or Pacific Islander,6,69,8.6959999999999997
2014,Albemarle County,Black or African American,11,113,9.7349999999999994
2014,Albemarle County,Hispanic or Latinx (All Races),7,98,7.1429999999999998
2014,Albemarle County,Unknown Race and Ethnicity,0,5,0
2014,Albemarle County,White,39,724,5.3869999999999996
2014,Charlottesville City,"Another Race, Non-Hispanic",0,12,0
2014,Charlottesville City,Asian or Pacific Islander,5,54,9.2590000000000003
2014,Charlottesville City,Black or African American,11,132,8.3330000000000002
2014,Charlottesville City,Hispanic or Latinx (All Races),<5,52,*
2014,Charlottesville City,White,25,373,6.702
2015,Virginia (All Localities),American Indian or Alaskan Native,5,177,2.8249
2015,Virginia (All Localities),"Another Race, Non-Hispanic",154,2069,7.4432
2015,Virginia (All Localities),Asian or Pacific Islander,644,7774,8.2840000000000007
2015,Virginia (All Localities),Black or African American,2558,20811,12.291600000000001
2015,Virginia (All Localities),Hispanic or Latinx (All Races),886,13901,6.3735999999999997
2015,Virginia (All Localities),Unknown Race and Ethnicity,192,1527,12.573700000000001
2015,Virginia (All Localities),White,3645,56648,6.4344999999999999
2015,Albemarle County,American Indian or Alaskan Native,0,<5,0
2015,Albemarle County,"Another Race, Non-Hispanic",<5,26,*
2015,Albemarle County,Asian or Pacific Islander,<5,59,*
2015,Albemarle County,Black or African American,6,101,5.9409999999999998
2015,Albemarle County,Hispanic or Latinx (All Races),7,99,7.0709999999999997
2015,Albemarle County,White,42,762,5.5119999999999996
2015,Charlottesville City,American Indian or Alaskan Native,0,<5,0
2015,Charlottesville City,"Another Race, Non-Hispanic",0,8,0
2015,Charlottesville City,Asian or Pacific Islander,<5,46,*
2015,Charlottesville City,Black or African American,17,110,15.455
2015,Charlottesville City,Hispanic or Latinx (All Races),<5,57,*
2015,Charlottesville City,White,15,354,4.2370000000000001
2016,Virginia (All Localities),American Indian or Alaskan Native,6,145,4.1379000000000001
2016,Virginia (All Localities),"Another Race, Non-Hispanic",171,2206,7.7515999999999998
2016,Virginia (All Localities),Asian or Pacific Islander,631,7764,8.1273
2016,Virginia (All Localities),Black or African American,2712,20078,13.507300000000001
2016,Virginia (All Localities),Hispanic or Latinx (All Races),952,14133,6.7359999999999998
2016,Virginia (All Localities),Unknown Race and Ethnicity,355,3671,9.6704000000000008
2016,Virginia (All Localities),White,3496,54168,6.4539999999999997
2016,Albemarle County,"Another Race, Non-Hispanic",0,16,0
2016,Albemarle County,Asian or Pacific Islander,<5,69,*
2016,Albemarle County,Black or African American,13,121,10.744
2016,Albemarle County,Hispanic or Latinx (All Races),<5,110,*
2016,Albemarle County,Unknown Race and Ethnicity,0,<5,0
2016,Albemarle County,White,37,762,4.8559999999999999
2016,Charlottesville City,American Indian or Alaskan Native,0,<5,0
2016,Charlottesville City,"Another Race, Non-Hispanic",0,16,0
2016,Charlottesville City,Asian or Pacific Islander,0,44,0
2016,Charlottesville City,Black or African American,14,108,12.962999999999999
2016,Charlottesville City,Hispanic or Latinx (All Races),6,68,8.8239999999999998
2016,Charlottesville City,White,17,384,4.4269999999999996
2017,Virginia (All Localities),American Indian or Alaskan Native,13,164,7.9268000000000001
2017,Virginia (All Localities),"Another Race, Non-Hispanic",174,2360,7.3728999999999996
2017,Virginia (All Localities),Asian or Pacific Islander,638,7606,8.3880999999999997
2017,Virginia (All Localities),Black or African American,2766,20510,13.4861
2017,Virginia (All Localities),Hispanic or Latinx (All Races),994,13984,7.1081000000000003
2017,Virginia (All Localities),Unknown Race and Ethnicity,406,3986,10.185600000000001
2017,Virginia (All Localities),White,3542,52560,6.7389999999999999
2017,Albemarle County,American Indian or Alaskan Native,<5,<5,*
2017,Albemarle County,"Another Race, Non-Hispanic",<5,28,*
2017,Albemarle County,Asian or Pacific Islander,5,68,7.3529999999999998
2017,Albemarle County,Black or African American,13,112,11.606999999999999
2017,Albemarle County,Hispanic or Latinx (All Races),6,102,5.8819999999999997
2017,Albemarle County,Unknown Race and Ethnicity,0,<5,0
2017,Albemarle County,White,41,742,5.5259999999999998
2017,Charlottesville City,American Indian or Alaskan Native,0,<5,0
2017,Charlottesville City,"Another Race, Non-Hispanic",<5,22,*
2017,Charlottesville City,Asian or Pacific Islander,0,41,0
2017,Charlottesville City,Black or African American,15,128,11.718999999999999
2017,Charlottesville City,Hispanic or Latinx (All Races),6,52,11.538
2017,Charlottesville City,White,19,342,5.556
2018,Virginia (All Localities),American Indian or Alaskan Native,10,171,5.8479999999999999
2018,Virginia (All Localities),"Another Race, Non-Hispanic",182,2412,7.5456000000000003
2018,Virginia (All Localities),Asian or Pacific Islander,609,7537,8.0800999999999998
2018,Virginia (All Localities),Black or African American,2732,20295,13.461399999999999
2018,Virginia (All Localities),Hispanic or Latinx (All Races),1000,14384,6.9522000000000004
2018,Virginia (All Localities),Unknown Race and Ethnicity,359,3778,9.5023999999999997
2018,Virginia (All Localities),White,3333,51326,6.4938000000000002
2018,Albemarle County,American Indian or Alaskan Native,<5,<5,*
2018,Albemarle County,"Another Race, Non-Hispanic",<5,27,*
2018,Albemarle County,Asian or Pacific Islander,<5,59,*
2018,Albemarle County,Black or African American,20,117,17.094000000000001
2018,Albemarle County,Hispanic or Latinx (All Races),13,99,13.131
2018,Albemarle County,Unknown Race and Ethnicity,0,<5,0
2018,Albemarle County,White,38,749,5.0730000000000004
2018,Charlottesville City,American Indian or Alaskan Native,<5,<5,*
2018,Charlottesville City,"Another Race, Non-Hispanic",0,18,0
2018,Charlottesville City,Asian or Pacific Islander,<5,31,*
2018,Charlottesville City,Black or African American,10,106,9.4339999999999993
2018,Charlottesville City,Hispanic or Latinx (All Races),0,61,0
2018,Charlottesville City,Unknown Race and Ethnicity,0,<5,0
2018,Charlottesville City,White,13,385,3.3769999999999998
2019,Virginia (All Localities),American Indian or Alaskan Native,21,157,13.3758
2019,Virginia (All Localities),"Another Race, Non-Hispanic",188,2476,7.5929000000000002
2019,Virginia (All Localities),Asian or Pacific Islander,661,7684,8.6022999999999996
2019,Virginia (All Localities),Black or African American,2773,20190,13.734500000000001
2019,Virginia (All Localities),Hispanic or Latinx (All Races),1014,14474,7.0057
2019,Virginia (All Localities),Unknown Race and Ethnicity,<5,23,*
2019,Virginia (All Localities),White,3548,52751,6.7259000000000002
2019,Albemarle County,"Another Race, Non-Hispanic",<5,23,*
2019,Albemarle County,Asian or Pacific Islander,6,66,9.0909999999999993
2019,Albemarle County,Black or African American,20,107,18.692
2019,Albemarle County,Hispanic or Latinx (All Races),6,96,6.25
2019,Albemarle County,White,46,735,6.2590000000000003
2019,Charlottesville City,American Indian or Alaskan Native,0,<5,0
2019,Charlottesville City,"Another Race, Non-Hispanic",<5,14,*
2019,Charlottesville City,Asian or Pacific Islander,0,38,0
2019,Charlottesville City,Black or African American,21,113,18.584
2019,Charlottesville City,Hispanic or Latinx (All Races),<5,48,*
2019,Charlottesville City,White,21,410,5.1219999999999999
2020,Virginia (All Localities),American Indian or Alaskan Native,14,166,8.4337
2020,Virginia (All Localities),"Another Race, Non-Hispanic",225,2527,8.9038000000000004
2020,Virginia (All Localities),Asian or Pacific Islander,575,7204,7.9817
2020,Virginia (All Localities),Black or African American,2676,19548,13.689399999999999
2020,Virginia (All Localities),Hispanic or Latinx (All Races),1035,14835,6.9767000000000001
2020,Virginia (All Localities),Unknown Race and Ethnicity,<5,13,*
2020,Virginia (All Localities),White,3397,50898,6.6741000000000001
2020,Albemarle County,American Indian or Alaskan Native,<5,5,*
2020,Albemarle County,"Another Race, Non-Hispanic",<5,28,*
2020,Albemarle County,Asian or Pacific Islander,<5,42,*
2020,Albemarle County,Black or African American,15,115,13.042999999999999
2020,Albemarle County,Hispanic or Latinx (All Races),6,94,6.383
2020,Albemarle County,White,40,690,5.7969999999999997
2020,Charlottesville City,American Indian or Alaskan Native,0,<5,0
