fips,name,year,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age2544_tot,age2544_male,age2544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,age04_tot,age04_male,age04_fem,age59_tot,age59_male,age59_fem,age1014_tot,age1014_male,age1014_fem,age1519_tot,age1519_male,age1519_fem,age2024_tot,age2024_male,age2024_fem,age2529_tot,age2529_male,age2529_fem,age3034_tot,age3034_male,age3034_fem,age3539_tot,age3539_male,age3539_fem,age4044_tot,age4044_male,age4044_fem,age4549_tot,age4549_male,age4549_fem,age5054_tot,age5054_male,age5054_fem,age5559_tot,age5559_male,age5559_fem,age6064_tot,age6064_male,age6064_fem,age6569_tot,age6569_male,age6569_fem,age7074_tot,age7074_male,age7074_fem,age7579_tot,age7579_male,age7579_fem,age8084_tot,age8084_male,age8084_fem,age85plus_tot,age85plus_male,age85plus_fem,age517_tot,age1013_tot,age1017_tot,age1019_tot,age18under_tot
51003,Albemarle County,2010,99204,47712,51492,5545,2859,2686,10827,5487,5340,4934,2553,2381,12258,5950,6308,80444,38145,42299,77898,36813,41085,40497,19996,20501,24467,12078,12389,26970,12716,14254,14203,6069,8134,5545,2859,2686,5924,2978,2946,6065,3094,2971,9124,4435,4689,6906,3483,3423,6833,3396,3437,5800,2910,2890,5507,2767,2740,6327,3005,3322,7068,3320,3748,7433,3492,3941,6759,3165,3594,5710,2739,2971,4179,1923,2256,3151,1450,1701,2486,1034,1452,2116,878,1238,2271,784,1487,15761,4903,9837,15189,21306
51003,Albemarle County,2011,100213,48047,52166,5697,2898,2799,10847,5459,5388,4912,2537,2375,12182,5888,6294,81289,38478,42811,78757,37153,41604,40507,19968,20539,24627,12163,12464,27347,12873,14474,14601,6229,8372,5697,2898,2799,5873,2953,2920,6188,3126,3062,9172,4461,4711,6708,3344,3364,6899,3410,3489,5983,2985,2998,5454,2742,2712,6291,3026,3265,6859,3236,3623,7422,3465,3957,6941,3255,3686,6125,2917,3208,4284,1959,2325,3279,1496,1783,2492,1052,1440,2189,908,1281,2357,814,1543,15759,4974,9886,15360,21456
51003,Albemarle County,2012,101464,48561,52903,5688,2896,2792,10880,5453,5427,4987,2554,2433,12355,5959,6396,82404,38936,43468,79909,37658,42251,40974,20169,20805,24890,12295,12595,27284,12817,14467,15380,6587,8793,5688,2896,2792,5903,2964,2939,6235,3128,3107,9324,4540,4784,6760,3334,3426,7054,3508,3546,6072,3019,3053,5474,2706,2768,6290,3062,3228,6743,3192,3551,7280,3391,3889,7049,3299,3750,6212,2935,3277,4762,2208,2554,3431,1561,1870,2585,1084,1501,2166,888,1278,2436,846,1590,15867,4977,9964,15559,21555
51003,Albemarle County,2013,102270,48911,53359,5668,2931,2737,10994,5509,5485,5038,2548,2490,11942,5775,6167,83049,39197,43852,80570,37923,42647,40863,20085,20778,25156,12392,12764,27428,12833,14595,16044,6923,9121,5668,2931,2737,6039,3032,3007,6228,3107,3121,8978,4372,4606,6729,3321,3408,6977,3433,3544,6324,3148,3176,5584,2729,2855,6271,3082,3189,6579,3114,3465,7258,3394,3864,7144,3298,3846,6447,3027,3420,5046,2344,2702,3650,1664,1986,2698,1155,1543,2173,889,1284,2477,871,1606,16032,4955,9993,15206,21700
51003,Albemarle County,2014,103732,49634,54098,5698,2906,2792,11011,5599,5412,5138,2560,2578,12128,5841,6287,84478,39885,44593,81885,38569,43316,41362,20349,21013,25356,12571,12785,27559,12834,14725,16842,7323,9519,5698,2906,2792,6095,3122,2973,6176,3100,3076,9032,4340,4692,6974,3438,3536,7056,3510,3546,6437,3193,3244,5856,2877,2979,6007,2991,3016,6437,3041,3396,7269,3370,3899,7283,3380,3903,6570,3043,3527,5449,2528,2921,3834,1773,2061,2803,1227,1576,2169,859,1310,2587,936,1651,16149,4916,10054,15208,21847
51003,Albemarle County,2015,105117,50387,54730,5788,2979,2809,10922,5601,5321,5184,2564,2620,12529,6045,6484,85847,40550,45297,83223,39243,43980,41887,20572,21315,25450,12592,12858,27652,12921,14731,17592,7685,9907,5788,2979,2809,6023,3094,2929,6175,3136,3039,9200,4395,4805,7237,3585,3652,6991,3416,3575,6594,3327,3267,6031,2937,3094,5834,2912,2922,6525,3100,3425,7095,3335,3760,7345,3397,3948,6687,3089,3598,5798,2713,3085,4020,1848,2172,2960,1308,1652,2132,842,1290,2682,974,1708,16106,4899,10083,15375,21894
51003,Albemarle County,2016,106431,50926,55505,5842,2934,2908,10931,5571,5360,5132,2551,2581,12729,6145,6584,87151,41144,46007,84526,39870,44656,42292,20738,21554,25656,12685,12971,27762,12998,14764,18379,8042,10337,5842,2934,2908,6086,3095,2991,6070,3119,2951,9362,4448,4914,7274,3605,3669,6987,3390,3597,6640,3352,3288,6277,3064,3213,5752,2879,2873,6507,3123,3384,6944,3269,3675,7412,3419,3993,6899,3187,3712,6160,2880,3280,4201,1923,2278,3094,1358,1736,2182,892,1290,2742,989,1753,16063,4845,9977,15432,21905
51003,Albemarle County,2017,107768,51482,56286,5901,2938,2963,10878,5557,5321,5061,2517,2544,12851,6160,6691,88540,41749,46791,85928,40470,45458,42881,21012,21869,26205,12944,13261,27549,12898,14651,19323,8468,10855,5901,2938,2963,6062,3104,2958,6052,3062,2990,9341,4453,4888,7335,3615,3720,7062,3426,3636,6842,3425,3417,6425,3135,3290,5876,2958,2918,6420,3111,3309,6754,3213,3541,7292,3340,3952,7083,3234,3849,6284,2917,3367,4711,2177,2534,3281,1446,1835,2256,918,1338,2791,1010,1781,15939,4816,9877,15393,21840
51003,Albemarle County,2018,108377,51811,56566,5776,2922,2854,10796,5503,5293,5006,2520,2486,12812,6137,6675,89320,42138,47182,86799,40866,45933,43113,21039,22074,26523,13016,13507,27208,12793,14415,20256,8920,11336,5776,2922,2854,5937,3051,2886,6087,3086,3001,9302,4419,4883,7288,3604,3684,6946,3315,3631,6995,3488,3507,6551,3233,3318,6031,2980,3051,6330,3107,3223,6529,3138,3391,7156,3305,3851,7193,3243,3950,6518,3000,3518,4973,2332,2641,3550,1573,1977,2398,1004,1394,2817,1011,1806,15802,4859,9865,15389,21578
51003,Albemarle County,2019,109330,52319,57011,5721,2913,2808,10894,5577,5317,4938,2498,2440,12643,6034,6609,90268,42576,47692,87777,41331,46446,43446,21205,22241,27099,13304,13795,26880,12676,14204,21155,9317,11838,5721,2913,2808,6009,3075,2934,6119,3133,2986,9225,4412,4813,7122,3489,3633,7149,3392,3757,7043,3533,3510,6791,3338,3453,6116,3041,3075,6084,3017,3067,6458,3086,3372,7073,3261,3812,7265,3312,3953,6643,3018,3625,5344,2494,2850,3769,1692,2077,2527,1096,1431,2872,1017,1855,15832,4885,9823,15344,21553
