GEOID,locality,year,group,pov_num_group,population_num_group,pov_num_under18,pov_rate_bygroup,pov_rate_byallpov
51003,Albemarle,2010,under18,1718,21289,1718,8.07,100
51003,Albemarle,2010,under18_white,1012,16823,1718,6.02,58.91
51003,Albemarle,2010,under18_black,584,2337,1718,24.99,33.99
51003,Albemarle,2010,under18_asian,0,664,1718,0,0
51003,Albemarle,2010,under18_multi,55,1120,1718,4.91,3.2
51003,Albemarle,2010,under18_white_nonhisp,994,15633,1718,6.36,57.86
51003,Albemarle,2010,under18_hisp,85,1541,1718,5.52,4.95
51540,Charlottesville,2010,under18,1335,6402,1335,20.85,100
51540,Charlottesville,2010,under18_white,329,3252,1335,10.12,24.64
51540,Charlottesville,2010,under18_black,795,2174,1335,36.57,59.55
51540,Charlottesville,2010,under18_asian,24,242,1335,9.92,1.8
51540,Charlottesville,2010,under18_multi,50,507,1335,9.86,3.75
51540,Charlottesville,2010,under18_white_nonhisp,290,3148,1335,9.21,21.72
51540,Charlottesville,2010,under18_hisp,274,495,1335,55.35,20.52
51540,Charlottesville,2011,under18,1030,6368,1030,16.17,100
51540,Charlottesville,2011,under18_white,271,3435,1030,7.89,26.31
51540,Charlottesville,2011,under18_black,698,2121,1030,32.91,67.77
51540,Charlottesville,2011,under18_asian,0,183,1030,0,0
51540,Charlottesville,2011,under18_multi,61,536,1030,11.38,5.92
51540,Charlottesville,2011,under18_white_nonhisp,243,3140,1030,7.74,23.59
51540,Charlottesville,2011,under18_hisp,94,515,1030,18.25,9.13
51003,Albemarle,2011,under18,1947,21354,1947,9.12,100
51003,Albemarle,2011,under18_white,1067,16651,1947,6.41,54.8
51003,Albemarle,2011,under18_black,676,2441,1947,27.69,34.72
51003,Albemarle,2011,under18_asian,25,621,1947,4.03,1.28
51003,Albemarle,2011,under18_multi,151,1301,1947,11.61,7.76
51003,Albemarle,2011,under18_white_nonhisp,1045,15536,1947,6.73,53.67
51003,Albemarle,2011,under18_hisp,82,1647,1947,4.98,4.21
51003,Albemarle,2012,under18,1708,21447,1708,7.96,100
51003,Albemarle,2012,under18_white,921,16611,1708,5.54,53.92
51003,Albemarle,2012,under18_black,569,2255,1708,25.23,33.31
51003,Albemarle,2012,under18_asian,20,703,1708,2.84,1.17
51003,Albemarle,2012,under18_multi,127,1442,1708,8.81,7.44
51003,Albemarle,2012,under18_white_nonhisp,757,15439,1708,4.9,44.32
51003,Albemarle,2012,under18_hisp,271,1746,1708,15.52,15.87
51540,Charlottesville,2012,under18,1015,6498,1015,15.62,100
51540,Charlottesville,2012,under18_white,313,3589,1015,8.72,30.84
51540,Charlottesville,2012,under18_black,587,2220,1015,26.44,57.83
51540,Charlottesville,2012,under18_asian,79,211,1015,37.44,7.78
51540,Charlottesville,2012,under18_multi,36,413,1015,8.72,3.55
51540,Charlottesville,2012,under18_white_nonhisp,293,3262,1015,8.98,28.87
51540,Charlottesville,2012,under18_hisp,79,504,1015,15.67,7.78
51540,Charlottesville,2013,under18,1158,6531,1158,17.73,100
51540,Charlottesville,2013,under18_white,426,3695,1158,11.53,36.79
51540,Charlottesville,2013,under18_black,533,2145,1158,24.85,46.03
51540,Charlottesville,2013,under18_asian,166,280,1158,59.29,14.34
51540,Charlottesville,2013,under18_multi,33,339,1158,9.73,2.85
51540,Charlottesville,2013,under18_white_nonhisp,404,3337,1158,12.11,34.89
51540,Charlottesville,2013,under18_hisp,73,516,1158,14.15,6.3
51003,Albemarle,2013,under18,2162,21569,2162,10.02,100
51003,Albemarle,2013,under18_white,1277,16683,2162,7.65,59.07
51003,Albemarle,2013,under18_black,581,2156,2162,26.95,26.87
51003,Albemarle,2013,under18_asian,20,760,2162,2.63,0.93
51003,Albemarle,2013,under18_multi,157,1461,2162,10.75,7.26
51003,Albemarle,2013,under18_white_nonhisp,1001,15391,2162,6.5,46.3
51003,Albemarle,2013,under18_hisp,461,1853,2162,24.88,21.32
51540,Charlottesville,2014,under18,1334,6784,1334,19.66,100
51540,Charlottesville,2014,under18_white,427,3948,1334,10.82,32.01
51540,Charlottesville,2014,under18_black,696,2120,1334,32.83,52.17
51540,Charlottesville,2014,under18_asian,154,269,1334,57.25,11.54
51540,Charlottesville,2014,under18_multi,57,417,1334,13.67,4.27
51540,Charlottesville,2014,under18_white_nonhisp,413,3513,1334,11.76,30.96
51540,Charlottesville,2014,under18_hisp,40,536,1334,7.46,3
51003,Albemarle,2014,under18,1990,21633,1990,9.2,100
51003,Albemarle,2014,under18_white,1207,16573,1990,7.28,60.65
51003,Albemarle,2014,under18_black,438,2055,1990,21.31,22.01
51003,Albemarle,2014,under18_asian,51,870,1990,5.86,2.56
51003,Albemarle,2014,under18_multi,168,1560,1990,10.77,8.44
51003,Albemarle,2014,under18_white_nonhisp,934,15329,1990,6.09,46.93
51003,Albemarle,2014,under18_hisp,459,1900,1990,24.16,23.07
51540,Charlottesville,2015,under18,1398,6907,1398,20.24,100
51540,Charlottesville,2015,under18_white,531,4064,1398,13.07,37.98
51540,Charlottesville,2015,under18_black,633,2025,1398,31.26,45.28
51540,Charlottesville,2015,under18_asian,152,261,1398,58.24,10.87
51540,Charlottesville,2015,under18_multi,82,523,1398,15.68,5.87
51540,Charlottesville,2015,under18_white_nonhisp,508,3593,1398,14.14,36.34
51540,Charlottesville,2015,under18_hisp,27,571,1398,4.73,1.93
51003,Albemarle,2015,under18,2066,21700,2066,9.52,100
51003,Albemarle,2015,under18_white,1275,16589,2066,7.69,61.71
51003,Albemarle,2015,under18_black,359,2088,2066,17.19,17.38
51003,Albemarle,2015,under18_asian,85,871,2066,9.76,4.11
51003,Albemarle,2015,under18_multi,181,1576,2066,11.48,8.76
51003,Albemarle,2015,under18_white_nonhisp,939,15325,2066,6.13,45.45
51003,Albemarle,2015,under18_hisp,580,1980,2066,29.29,28.07
51540,Charlottesville,2016,under18,1503,7084,1503,21.22,100
51540,Charlottesville,2016,under18_white,511,4176,1503,12.24,34
51540,Charlottesville,2016,under18_black,704,1918,1503,36.7,46.84
51540,Charlottesville,2016,under18_asian,199,314,1503,63.38,13.24
51540,Charlottesville,2016,under18_multi,89,569,1503,15.64,5.92
51540,Charlottesville,2016,under18_white_nonhisp,485,3647,1503,13.3,32.27
51540,Charlottesville,2016,under18_hisp,31,656,1503,4.73,2.06
51003,Albemarle,2016,under18,2230,21721,2230,10.27,100
51003,Albemarle,2016,under18_white,1438,16725,2230,8.6,64.48
51003,Albemarle,2016,under18_black,496,2201,2230,22.54,22.24
51003,Albemarle,2016,under18_asian,78,928,2230,8.41,3.5
51003,Albemarle,2016,under18_multi,32,1171,2230,2.73,1.43
51003,Albemarle,2016,under18_white_nonhisp,968,15359,2230,6.3,43.41
51003,Albemarle,2016,under18_hisp,656,1997,2230,32.85,29.42
51540,Charlottesville,2017,under18,1506,7263,1506,20.74,100
51540,Charlottesville,2017,under18_white,508,4295,1506,11.83,33.73
51540,Charlottesville,2017,under18_black,813,1914,1506,42.48,53.98
51540,Charlottesville,2017,under18_asian,143,339,1506,42.18,9.5
51540,Charlottesville,2017,under18_multi,42,593,1506,7.08,2.79
51540,Charlottesville,2017,under18_white_nonhisp,387,3689,1506,10.49,25.7
51540,Charlottesville,2017,under18_hisp,126,740,1506,17.03,8.37
51003,Albemarle,2017,under18,2369,21738,2369,10.9,100
51003,Albemarle,2017,under18_white,1473,16805,2369,8.77,62.18
51003,Albemarle,2017,under18_black,663,2393,2369,27.71,27.99
51003,Albemarle,2017,under18_asian,92,1028,2369,8.95,3.88
51003,Albemarle,2017,under18_multi,58,924,2369,6.28,2.45
51003,Albemarle,2017,under18_white_nonhisp,904,15341,2369,5.89,38.16
51003,Albemarle,2017,under18_hisp,652,2059,2369,31.67,27.52
51540,Charlottesville,2018,under18,1582,7385,1582,21.42,100
51540,Charlottesville,2018,under18_white,425,4450,1582,9.55,26.86
51540,Charlottesville,2018,under18_black,947,1973,1582,48,59.86
51540,Charlottesville,2018,under18_asian,138,352,1582,39.2,8.72
51540,Charlottesville,2018,under18_multi,72,457,1582,15.75,4.55
51540,Charlottesville,2018,under18_white_nonhisp,308,3783,1582,8.14,19.47
51540,Charlottesville,2018,under18_hisp,122,777,1582,15.7,7.71
51003,Albemarle,2018,under18,2492,21734,2492,11.47,100
51003,Albemarle,2018,under18_white,1491,16839,2492,8.85,59.83
51003,Albemarle,2018,under18_black,683,2520,2492,27.1,27.41
51003,Albemarle,2018,under18_asian,201,1101,2492,18.26,8.07
51003,Albemarle,2018,under18_multi,52,747,2492,6.96,2.09
51003,Albemarle,2018,under18_white_nonhisp,999,15218,2492,6.56,40.09
51003,Albemarle,2018,under18_hisp,552,2109,2492,26.17,22.15
51540,Charlottesville,2019,under18,1492,7368,1492,20.25,100
51540,Charlottesville,2019,under18_white,475,4467,1492,10.63,31.84
51540,Charlottesville,2019,under18_black,919,2015,1492,45.61,61.6
51540,Charlottesville,2019,under18_asian,76,361,1492,21.05,5.09
51540,Charlottesville,2019,under18_multi,22,376,1492,5.85,1.47
51540,Charlottesville,2019,under18_white_nonhisp,222,3759,1492,5.91,14.88
51540,Charlottesville,2019,under18_hisp,256,799,1492,32.04,17.16
51003,Albemarle,2019,under18,2290,21723,2290,10.54,100
51003,Albemarle,2019,under18_white,1338,16986,2290,7.88,58.43
51003,Albemarle,2019,under18_black,721,2425,2290,29.73,31.48
51003,Albemarle,2019,under18_asian,128,941,2290,13.6,5.59
51003,Albemarle,2019,under18_multi,92,999,2290,9.21,4.02
51003,Albemarle,2019,under18_white_nonhisp,941,15270,2290,6.16,41.09
51003,Albemarle,2019,under18_hisp,397,2123,2290,18.7,17.34
51540,Charlottesville,2020,under18,1420,7321,1420,19.4,100
51540,Charlottesville,2020,under18_white,413,4307,1420,9.59,29.08
51540,Charlottesville,2020,under18_black,907,2000,1420,45.35,63.87
51540,Charlottesville,2020,under18_asian,93,417,1420,22.3,6.55
51540,Charlottesville,2020,under18_multi,7,456,1420,1.54,0.49
51540,Charlottesville,2020,under18_white_nonhisp,186,3759,1420,4.95,13.1
51540,Charlottesville,2020,under18_hisp,234,800,1420,29.25,16.48
51003,Albemarle,2020,under18,1981,21863,1981,9.06,100
51003,Albemarle,2020,under18_white,1217,16541,1981,7.36,61.43
51003,Albemarle,2020,under18_black,582,2300,1981,25.3,29.38
51003,Albemarle,2020,under18_asian,109,1041,1981,10.47,5.5
51003,Albemarle,2020,under18_multi,72,1443,1981,4.99,3.63
51003,Albemarle,2020,under18_white_nonhisp,931,15224,1981,6.12,47
51003,Albemarle,2020,under18_hisp,286,2099,1981,13.63,14.44
51003,Albemarle,2021,under18,1728,22417,1728,7.71,100
51003,Albemarle,2021,under18_white,1004,16536,1728,6.07,58.1
51003,Albemarle,2021,under18_black,412,1915,1728,21.51,23.84
51003,Albemarle,2021,under18_asian,74,1074,1728,6.89,4.28
51003,Albemarle,2021,under18_multi,84,2199,1728,3.82,4.86
51003,Albemarle,2021,under18_white_nonhisp,815,15531,1728,5.25,47.16
51003,Albemarle,2021,under18_hisp,337,2157,1728,15.62,19.5
51540,Charlottesville,2021,under18,1846,7314,1846,25.24,100
51540,Charlottesville,2021,under18_white,604,4332,1846,13.94,32.72
51540,Charlottesville,2021,under18_black,983,1889,1846,52.04,53.25
51540,Charlottesville,2021,under18_asian,90,403,1846,22.33,4.88
51540,Charlottesville,2021,under18_multi,169,612,1846,27.61,9.15
51540,Charlottesville,2021,under18_white_nonhisp,283,3760,1846,7.53,15.33
51540,Charlottesville,2021,under18_hisp,343,809,1846,42.4,18.58
51003,Albemarle,2022,under18,1747,22003,1747,7.94,100
51003,Albemarle,2022,under18_white,941,15940,1747,5.9,53.86
51003,Albemarle,2022,under18_black,512,1846,1747,27.74,29.31
51003,Albemarle,2022,under18_asian,81,953,1747,8.5,4.64
51003,Albemarle,2022,under18_multi,33,2588,1747,1.28,1.89
51003,Albemarle,2022,under18_white_nonhisp,818,15134,1747,5.41,46.82
51003,Albemarle,2022,under18_hisp,302,2128,1747,14.19,17.29
51540,Charlottesville,2022,under18,1810,7200,1810,25.14,100
51540,Charlottesville,2022,under18_white,517,4096,1810,12.62,28.56
51540,Charlottesville,2022,under18_black,1041,1786,1810,58.29,57.51
51540,Charlottesville,2022,under18_asian,63,339,1810,18.58,3.48
51540,Charlottesville,2022,under18_multi,189,895,1810,21.12,10.44
51540,Charlottesville,2022,under18_white_nonhisp,344,3710,1810,9.27,19.01
51540,Charlottesville,2022,under18_hisp,200,798,1810,25.06,11.05
51003,Albemarle,2023,under18,1658,22432,1658,7.39,100
51003,Albemarle,2023,under18_white,1041,15650,1658,6.65,62.79
51003,Albemarle,2023,under18_black,307,1916,1658,16.02,18.52
51003,Albemarle,2023,under18_asian,5,1005,1658,0.5,0.3
51003,Albemarle,2023,under18_multi,68,2967,1658,2.29,4.1
51003,Albemarle,2023,under18_white_nonhisp,940,14814,1658,6.35,56.69
51003,Albemarle,2023,under18_hisp,338,2662,1658,12.7,20.39
51540,Charlottesville,2023,under18,1916,7419,1916,25.83,100
51540,Charlottesville,2023,under18_white,512,4289,1916,11.94,26.72
51540,Charlottesville,2023,under18_black,979,1725,1916,56.75,51.1
51540,Charlottesville,2023,under18_asian,175,358,1916,48.88,9.13
51540,Charlottesville,2023,under18_multi,250,957,1916,26.12,13.05
51540,Charlottesville,2023,under18_white_nonhisp,262,3741,1916,7,13.67
51540,Charlottesville,2023,under18_hisp,274,928,1916,29.53,14.3
51003,Albemarle,2024,under18,1857,22438,1857,8.28,100
51003,Albemarle,2024,under18_white,995,15070,1857,6.6,53.58
51003,Albemarle,2024,under18_black,424,2032,1857,20.87,22.83
51003,Albemarle,2024,under18_asian,8,1106,1857,0.72,0.43
51003,Albemarle,2024,under18_multi,160,3001,1857,5.33,8.62
51003,Albemarle,2024,under18_white_nonhisp,897,14606,1857,6.14,48.3
51003,Albemarle,2024,under18_hisp,457,2723,1857,16.78,24.61
51540,Charlottesville,2024,under18,1418,7480,1418,18.96,100
51540,Charlottesville,2024,under18_white,216,4137,1418,5.22,15.23
51540,Charlottesville,2024,under18_black,614,1309,1418,46.91,43.3
51540,Charlottesville,2024,under18_asian,227,354,1418,64.12,16.01
51540,Charlottesville,2024,under18_multi,361,1373,1418,26.29,25.46
51540,Charlottesville,2024,under18_white_nonhisp,216,3859,1418,5.6,15.23
51540,Charlottesville,2024,under18_hisp,0,924,1418,0,0
51,Virginia,2010,under18,243239,1840077,243239,13.22,100
51,Virginia,2010,under18_white,105449,1176064,243239,8.97,43.35
51,Virginia,2010,under18_black,107384,404860,243239,26.52,44.15
51,Virginia,2010,under18_asian,6653,96621,243239,6.89,2.74
51,Virginia,2010,under18_multi,12099,94024,243239,12.87,4.97
51,Virginia,2010,under18_white_nonhisp,88525,1072008,243239,8.26,36.39
51,Virginia,2010,under18_hisp,30946,185271,243239,16.7,12.72
51,Virginia,2011,under18,255616,1843927,255616,13.86,100
51,Virginia,2011,under18_white,111675,1173227,255616,9.52,43.69
51,Virginia,2011,under18_black,110043,403543,255616,27.27,43.05
51,Virginia,2011,under18_asian,7962,99823,255616,7.98,3.11
51,Virginia,2011,under18_multi,14084,100624,255616,14,5.51
51,Virginia,2011,under18_white_nonhisp,91419,1060243,255616,8.62,35.76
51,Virginia,2011,under18_hisp,35332,195415,255616,18.08,13.82
51,Virginia,2012,under18,265922,1848713,265922,14.38,100
51,Virginia,2012,under18_white,116538,1173393,265922,9.93,43.82
51,Virginia,2012,under18_black,112978,399873,265922,28.25,42.49
51,Virginia,2012,under18_asian,8808,102219,265922,8.62,3.31
51,Virginia,2012,under18_multi,15672,111366,265922,14.07,5.89
51,Virginia,2012,under18_white_nonhisp,94334,1051844,265922,8.97,35.47
51,Virginia,2012,under18_hisp,38172,204517,265922,18.66,14.35
51,Virginia,2013,under18,271958,1856014,271958,14.65,100
51,Virginia,2013,under18_white,120877,1176806,271958,10.27,44.45
51,Virginia,2013,under18_black,112782,394664,271958,28.58,41.47
51,Virginia,2013,under18_asian,8451,104926,271958,8.05,3.11
51,Virginia,2013,under18_multi,17642,119878,271958,14.72,6.49
51,Virginia,2013,under18_white_nonhisp,96725,1045440,271958,9.25,35.57
51,Virginia,2013,under18_hisp,40372,212892,271958,18.96,14.84
51,Virginia,2014,under18,279359,1862284,279359,15,100
51,Virginia,2014,under18_white,124580,1177225,279359,10.58,44.59
51,Virginia,2014,under18_black,114199,390180,279359,29.27,40.88
51,Virginia,2014,under18_asian,8825,107834,279359,8.18,3.16
51,Virginia,2014,under18_multi,18994,126949,279359,14.96,6.8
51,Virginia,2014,under18_white_nonhisp,97700,1038961,279359,9.4,34.97
51,Virginia,2014,under18_hisp,44435,221525,279359,20.06,15.91
51,Virginia,2015,under18,280144,1864668,280144,15.02,100
51,Virginia,2015,under18_white,126204,1175650,280144,10.73,45.05
51,Virginia,2015,under18_black,113273,387952,280144,29.2,40.43
51,Virginia,2015,under18_asian,8281,110174,280144,7.52,2.96
51,Virginia,2015,under18_multi,18673,130832,280144,14.27,6.67
51,Virginia,2015,under18_white_nonhisp,98916,1032006,280144,9.58,35.31
51,Virginia,2015,under18_hisp,45845,228035,280144,20.1,16.36
51,Virginia,2016,under18,278352,1865556,278352,14.92,100
51,Virginia,2016,under18_white,124735,1173615,278352,10.63,44.81
51,Virginia,2016,under18_black,112065,382085,278352,29.33,40.26
51,Virginia,2016,under18_asian,7900,111313,278352,7.1,2.84
51,Virginia,2016,under18_multi,19545,136005,278352,14.37,7.02
51,Virginia,2016,under18_white_nonhisp,96928,1026078,278352,9.45,34.82
51,Virginia,2016,under18_hisp,47034,234290,278352,20.08,16.9
51,Virginia,2017,under18,273962,1866274,273962,14.68,100
51,Virginia,2017,under18_white,120766,1167212,273962,10.35,44.08
51,Virginia,2017,under18_black,110307,380586,273962,28.98,40.26
51,Virginia,2017,under18_asian,7415,111900,273962,6.63,2.71
51,Virginia,2017,under18_multi,20245,139748,273962,14.49,7.39
51,Virginia,2017,under18_white_nonhisp,92891,1015812,273962,9.14,33.91
51,Virginia,2017,under18_hisp,48599,242147,273962,20.07,17.74
51,Virginia,2018,under18,266487,1867427,266487,14.27,100
51,Virginia,2018,under18_white,117716,1161193,266487,10.14,44.17
51,Virginia,2018,under18_black,105433,375959,266487,28.04,39.56
51,Virginia,2018,under18_asian,7284,112660,266487,6.47,2.73
51,Virginia,2018,under18_multi,20458,147344,266487,13.88,7.68
51,Virginia,2018,under18_white_nonhisp,89629,1006864,266487,8.9,33.63
51,Virginia,2018,under18_hisp,49456,249917,266487,19.79,18.56
51,Virginia,2019,under18,255807,1865699,255807,13.71,100
51,Virginia,2019,under18_white,112552,1154736,255807,9.75,44
51,Virginia,2019,under18_black,99918,373575,255807,26.75,39.06
