GEOID,locality,year,group,pov_num_group,population_num_group,pov_num_under18,pov_rate_bygroup,pov_rate_byallpov
51,Virginia,2019,under18_asian,6788,111854,255807,6.07,2.65
51,Virginia,2019,under18_multi,20595,150313,255807,13.7,8.05
51,Virginia,2019,under18_white_nonhisp,86089,999740,255807,8.61,33.65
51,Virginia,2019,under18_hisp,47726,256038,255807,18.64,18.66
51,Virginia,2020,under18,241637,1868597,241637,12.93,100
51,Virginia,2020,under18_white,101837,1120554,241637,9.09,42.14
51,Virginia,2020,under18_black,94987,370122,241637,25.66,39.31
51,Virginia,2020,under18_asian,8102,121366,241637,6.68,3.35
51,Virginia,2020,under18_multi,19800,174014,241637,11.38,8.19
51,Virginia,2020,under18_white_nonhisp,79531,985479,241637,8.07,32.91
51,Virginia,2020,under18_hisp,44639,259092,241637,17.23,18.47
51,Virginia,2021,under18,242702,1892752,242702,12.82,100
51,Virginia,2021,under18_white,97135,1104801,242702,8.79,40.02
51,Virginia,2021,under18_black,94892,371765,242702,25.52,39.1
51,Virginia,2021,under18_asian,8337,121920,242702,6.84,3.44
51,Virginia,2021,under18_multi,22918,203018,242702,11.29,9.44
51,Virginia,2021,under18_white_nonhisp,78805,986516,242702,7.99,32.47
51,Virginia,2021,under18_hisp,45023,269411,242702,16.71,18.55
51,Virginia,2022,under18,236926,1876826,236926,12.62,100
51,Virginia,2022,under18_white,91437,1057820,236926,8.64,38.59
51,Virginia,2022,under18_black,89771,365872,236926,24.54,37.89
51,Virginia,2022,under18_asian,7996,121201,236926,6.6,3.37
51,Virginia,2022,under18_multi,26159,229786,236926,11.38,11.04
51,Virginia,2022,under18_white_nonhisp,76769,963500,236926,7.97,32.4
51,Virginia,2022,under18_hisp,46006,274167,236926,16.78,19.42
51,Virginia,2023,under18,236443,1893985,236443,12.48,100
51,Virginia,2023,under18_white,87536,1027519,236443,8.52,37.02
51,Virginia,2023,under18_black,86666,364648,236443,23.77,36.65
51,Virginia,2023,under18_asian,7876,119515,236443,6.59,3.33
51,Virginia,2023,under18_multi,30446,265385,236443,11.47,12.88
51,Virginia,2023,under18_white_nonhisp,75979,952469,236443,7.98,32.13
51,Virginia,2023,under18_hisp,49307,294637,236443,16.73,20.85
51,Virginia,2024,under18,229811,1890833,229811,12.15,100
51,Virginia,2024,under18_white,80801,988493,229811,8.17,35.16
51,Virginia,2024,under18_black,82464,356762,229811,23.11,35.88
51,Virginia,2024,under18_asian,7640,118575,229811,6.44,3.32
51,Virginia,2024,under18_multi,34167,300464,229811,11.37,14.87
51,Virginia,2024,under18_white_nonhisp,74128,937140,229811,7.91,32.26
51,Virginia,2024,under18_hisp,48372,302240,229811,16,21.05
